"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,311,878,35.42,"2020-05-04"
10002,878,2069,42.44,"2020-05-04"
10003,399,1251,31.89,"2020-05-04"
10004,28,87,32.18,"2020-05-04"
10005,54,214,25.23,"2020-05-04"
10006,21,92,22.83,"2020-05-04"
10007,49,205,23.9,"2020-05-04"
10009,610,1767,34.52,"2020-05-04"
10010,234,915,25.57,"2020-05-04"
10011,463,1315,35.21,"2020-05-04"
10012,145,496,29.23,"2020-05-04"
10013,217,696,31.18,"2020-05-04"
10014,266,776,34.28,"2020-05-04"
10016,605,1958,30.9,"2020-05-04"
10017,125,485,25.77,"2020-05-04"
10018,193,559,34.53,"2020-05-04"
10019,523,1530,34.18,"2020-05-04"
10021,494,1675,29.49,"2020-05-04"
10022,295,1050,28.1,"2020-05-04"
10023,496,1676,29.59,"2020-05-04"
10024,571,1833,31.15,"2020-05-04"
10025,1096,3116,35.17,"2020-05-04"
10026,561,1455,38.56,"2020-05-04"
10027,847,2110,40.14,"2020-05-04"
10028,427,1452,29.41,"2020-05-04"
10029,1548,3494,44.3,"2020-05-04"
10030,426,1012,42.09,"2020-05-04"
10031,1067,2200,48.5,"2020-05-04"
10032,1234,2638,46.78,"2020-05-04"
10033,1116,2344,47.61,"2020-05-04"
10034,596,1366,43.63,"2020-05-04"
10035,800,1757,45.53,"2020-05-04"
10036,363,1045,34.74,"2020-05-04"
10037,369,892,41.37,"2020-05-04"
10038,218,565,38.58,"2020-05-04"
10039,438,1069,40.97,"2020-05-04"
10040,850,1772,47.97,"2020-05-04"
10044,183,418,43.78,"2020-05-04"
10065,290,1085,26.73,"2020-05-04"
10069,46,165,27.88,"2020-05-04"
10075,342,1027,33.3,"2020-05-04"
10128,555,1981,28.02,"2020-05-04"
10280,38,175,21.71,"2020-05-04"
10282,64,173,36.99,"2020-05-04"
10301,1016,2475,41.05,"2020-05-04"
10302,564,1264,44.62,"2020-05-04"
10303,760,1787,42.53,"2020-05-04"
10304,1233,2919,42.24,"2020-05-04"
10305,1101,2873,38.32,"2020-05-04"
10306,1312,3720,35.27,"2020-05-04"
10307,351,994,35.31,"2020-05-04"
10308,587,1729,33.95,"2020-05-04"
10309,779,2228,34.96,"2020-05-04"
10310,656,1689,38.84,"2020-05-04"
10312,1384,3757,36.84,"2020-05-04"
10314,2421,6243,38.78,"2020-05-04"
10451,1418,3008,47.14,"2020-05-04"
10452,2005,4246,47.22,"2020-05-04"
10453,1998,4245,47.07,"2020-05-04"
10454,975,2178,44.77,"2020-05-04"
10455,1091,2306,47.31,"2020-05-04"
10456,2141,4742,45.15,"2020-05-04"
10457,1792,3961,45.24,"2020-05-04"
10458,1745,3886,44.9,"2020-05-04"
10459,1293,2675,48.34,"2020-05-04"
10460,1407,3049,46.15,"2020-05-04"
10461,1690,3958,42.7,"2020-05-04"
10462,2003,4611,43.44,"2020-05-04"
10463,1627,3967,41.01,"2020-05-04"
10464,115,360,31.94,"2020-05-04"
10465,1359,3567,38.1,"2020-05-04"
10466,2095,4466,46.91,"2020-05-04"
10467,2931,6140,47.74,"2020-05-04"
10468,2137,4230,50.52,"2020-05-04"
10469,2588,5306,48.77,"2020-05-04"
10470,397,937,42.37,"2020-05-04"
10471,530,1368,38.74,"2020-05-04"
10472,1682,3309,50.83,"2020-05-04"
10473,1695,3806,44.53,"2020-05-04"
10474,285,634,44.95,"2020-05-04"
10475,1530,3746,40.84,"2020-05-04"
11004,507,927,54.69,"2020-05-04"
11101,539,1422,37.9,"2020-05-04"
11102,525,1206,43.53,"2020-05-04"
11103,464,1153,40.24,"2020-05-04"
11104,417,994,41.95,"2020-05-04"
11105,431,1222,35.27,"2020-05-04"
11106,552,1348,40.95,"2020-05-04"
11109,46,190,24.21,"2020-05-04"
11201,539,1715,31.43,"2020-05-04"
11203,1758,3664,47.98,"2020-05-04"
11204,1691,3731,45.32,"2020-05-04"
11205,607,1689,35.94,"2020-05-04"
11206,1306,3045,42.89,"2020-05-04"
11207,1728,3815,45.29,"2020-05-04"
11208,1927,3866,49.84,"2020-05-04"
11209,981,2614,37.53,"2020-05-04"
11210,1458,3130,46.58,"2020-05-04"
11211,1760,4135,42.56,"2020-05-04"
11212,1527,3365,45.38,"2020-05-04"
11213,1208,2619,46.12,"2020-05-04"
11214,1306,2867,45.55,"2020-05-04"
11215,534,1634,32.68,"2020-05-04"
11216,616,1578,39.04,"2020-05-04"
11217,490,1163,42.13,"2020-05-04"
11218,1464,3105,47.15,"2020-05-04"
11219,2421,5394,44.88,"2020-05-04"
11220,1277,2636,48.44,"2020-05-04"
11221,1071,2421,44.24,"2020-05-04"
11222,383,992,38.61,"2020-05-04"
11223,1448,3302,43.85,"2020-05-04"
11224,950,2093,45.39,"2020-05-04"
11225,1012,2216,45.67,"2020-05-04"
11226,1870,3899,47.96,"2020-05-04"
11228,568,1368,41.52,"2020-05-04"
11229,1329,3144,42.27,"2020-05-04"
11230,1961,4299,45.62,"2020-05-04"
11231,361,915,39.45,"2020-05-04"
11232,426,804,52.99,"2020-05-04"
11233,1095,2374,46.12,"2020-05-04"
11234,2014,4327,46.54,"2020-05-04"
11235,1730,3737,46.29,"2020-05-04"
11236,2328,4650,50.06,"2020-05-04"
11237,797,1556,51.22,"2020-05-04"
11238,654,1559,41.95,"2020-05-04"
11239,438,960,45.62,"2020-05-04"
11354,945,1934,48.86,"2020-05-04"
11355,1069,2176,49.13,"2020-05-04"
11356,478,1060,45.09,"2020-05-04"
11357,707,1641,43.08,"2020-05-04"
11358,496,1221,40.62,"2020-05-04"
11360,287,786,36.51,"2020-05-04"
11361,390,967,40.33,"2020-05-04"
11362,274,698,39.26,"2020-05-04"
11363,89,248,35.89,"2020-05-04"
11364,422,1112,37.95,"2020-05-04"
11365,736,1697,43.37,"2020-05-04"
11366,353,768,45.96,"2020-05-04"
11367,895,2102,42.58,"2020-05-04"
11368,3744,6178,60.6,"2020-05-04"
11369,1360,2439,55.76,"2020-05-04"
11370,1219,2375,51.33,"2020-05-04"
11372,2143,3817,56.14,"2020-05-04"
11373,2800,5199,53.86,"2020-05-04"
11374,940,2214,42.46,"2020-05-04"
11375,1375,3219,42.72,"2020-05-04"
11377,1853,3872,47.86,"2020-05-04"
11378,646,1488,43.41,"2020-05-04"
11379,708,1655,42.78,"2020-05-04"
11385,1836,3939,46.61,"2020-05-04"
11411,602,1199,50.21,"2020-05-04"
11412,1127,2221,50.74,"2020-05-04"
11413,1159,2360,49.11,"2020-05-04"
11414,730,1508,48.41,"2020-05-04"
11415,453,1014,44.67,"2020-05-04"
11416,605,1164,51.98,"2020-05-04"
11417,772,1582,48.8,"2020-05-04"
11418,922,1972,46.75,"2020-05-04"
11419,1002,2037,49.19,"2020-05-04"
11420,1189,2460,48.33,"2020-05-04"
11421,1030,2084,49.42,"2020-05-04"
11422,861,1817,47.39,"2020-05-04"
11423,890,1762,50.51,"2020-05-04"
11426,454,973,46.66,"2020-05-04"
11427,688,1397,49.25,"2020-05-04"
11428,601,1133,53.05,"2020-05-04"
11429,835,1536,54.36,"2020-05-04"
11432,1519,2970,51.14,"2020-05-04"
11433,824,1701,48.44,"2020-05-04"
11434,1730,3516,49.2,"2020-05-04"
11435,1390,2935,47.36,"2020-05-04"
11436,459,979,46.88,"2020-05-04"
11691,1935,3650,53.01,"2020-05-04"
11692,510,1037,49.18,"2020-05-04"
11693,294,627,46.89,"2020-05-04"
11694,622,1335,46.59,"2020-05-04"
11697,85,207,41.06,"2020-05-04"
