"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,313,944,33.16,"2020-05-06"
10002,899,2169,41.45,"2020-05-06"
10003,406,1308,31.04,"2020-05-06"
10004,28,91,30.77,"2020-05-06"
10005,54,223,24.22,"2020-05-06"
10006,21,97,21.65,"2020-05-06"
10007,48,212,22.64,"2020-05-06"
10009,614,1844,33.3,"2020-05-06"
10010,237,1003,23.63,"2020-05-06"
10011,471,1391,33.86,"2020-05-06"
10012,148,518,28.57,"2020-05-06"
10013,225,736,30.57,"2020-05-06"
10014,270,807,33.46,"2020-05-06"
10016,613,2082,29.44,"2020-05-06"
10017,126,513,24.56,"2020-05-06"
10018,193,569,33.92,"2020-05-06"
10019,529,1592,33.23,"2020-05-06"
10021,496,1758,28.21,"2020-05-06"
10022,303,1110,27.3,"2020-05-06"
10023,500,1765,28.33,"2020-05-06"
10024,581,1919,30.28,"2020-05-06"
10025,1104,3266,33.8,"2020-05-06"
10026,570,1515,37.62,"2020-05-06"
10027,863,2230,38.7,"2020-05-06"
10028,434,1527,28.42,"2020-05-06"
10029,1576,3647,43.21,"2020-05-06"
10030,432,1072,40.3,"2020-05-06"
10031,1090,2335,46.68,"2020-05-06"
10032,1266,2771,45.69,"2020-05-06"
10033,1142,2474,46.16,"2020-05-06"
10034,604,1544,39.12,"2020-05-06"
10035,816,1844,44.25,"2020-05-06"
10036,364,1076,33.83,"2020-05-06"
10037,376,927,40.56,"2020-05-06"
10038,222,609,36.45,"2020-05-06"
10039,442,1124,39.32,"2020-05-06"
10040,876,1961,44.67,"2020-05-06"
10044,187,435,42.99,"2020-05-06"
10065,292,1161,25.15,"2020-05-06"
10069,46,174,26.44,"2020-05-06"
10075,344,1083,31.76,"2020-05-06"
10128,565,2120,26.65,"2020-05-06"
10280,38,183,20.77,"2020-05-06"
10282,64,180,35.56,"2020-05-06"
10301,1033,2550,40.51,"2020-05-06"
10302,572,1309,43.7,"2020-05-06"
10303,768,1834,41.88,"2020-05-06"
10304,1259,3039,41.43,"2020-05-06"
10305,1109,2946,37.64,"2020-05-06"
10306,1320,3814,34.61,"2020-05-06"
10307,358,1014,35.31,"2020-05-06"
10308,589,1779,33.11,"2020-05-06"
10309,786,2279,34.49,"2020-05-06"
10310,671,1762,38.08,"2020-05-06"
10312,1395,3880,35.95,"2020-05-06"
10314,2443,6406,38.14,"2020-05-06"
10451,1443,3190,45.24,"2020-05-06"
10452,2030,4430,45.82,"2020-05-06"
10453,2032,4465,45.51,"2020-05-06"
10454,992,2298,43.17,"2020-05-06"
10455,1110,2423,45.81,"2020-05-06"
10456,2184,4995,43.72,"2020-05-06"
10457,1819,4097,44.4,"2020-05-06"
10458,1780,4053,43.92,"2020-05-06"
10459,1327,2782,47.7,"2020-05-06"
10460,1443,3175,45.45,"2020-05-06"
10461,1719,4157,41.35,"2020-05-06"
10462,2016,4734,42.59,"2020-05-06"
10463,1662,4134,40.2,"2020-05-06"
10464,114,368,30.98,"2020-05-06"
10465,1375,3670,37.47,"2020-05-06"
10466,2121,4614,45.97,"2020-05-06"
10467,2972,6351,46.8,"2020-05-06"
10468,2173,4393,49.47,"2020-05-06"
10469,2614,5462,47.86,"2020-05-06"
10470,405,981,41.28,"2020-05-06"
10471,541,1409,38.4,"2020-05-06"
10472,1709,3436,49.74,"2020-05-06"
10473,1724,3923,43.95,"2020-05-06"
10474,289,657,43.99,"2020-05-06"
10475,1553,3847,40.37,"2020-05-06"
11004,520,958,54.28,"2020-05-06"
11101,548,1507,36.36,"2020-05-06"
11102,534,1283,41.62,"2020-05-06"
11103,470,1192,39.43,"2020-05-06"
11104,427,1039,41.1,"2020-05-06"
11105,435,1266,34.36,"2020-05-06"
11106,566,1421,39.83,"2020-05-06"
11109,46,199,23.12,"2020-05-06"
11201,546,1804,30.27,"2020-05-06"
11203,1783,3810,46.8,"2020-05-06"
11204,1722,3935,43.76,"2020-05-06"
11205,620,1792,34.6,"2020-05-06"
11206,1330,3219,41.32,"2020-05-06"
11207,1766,3989,44.27,"2020-05-06"
11208,1971,4043,48.75,"2020-05-06"
11209,994,2719,36.56,"2020-05-06"
11210,1474,3246,45.41,"2020-05-06"
11211,1790,4411,40.58,"2020-05-06"
11212,1563,3534,44.23,"2020-05-06"
11213,1221,2711,45.04,"2020-05-06"
11214,1329,3017,44.05,"2020-05-06"
11215,539,1739,30.99,"2020-05-06"
11216,624,1669,37.39,"2020-05-06"
11217,500,1259,39.71,"2020-05-06"
11218,1487,3268,45.5,"2020-05-06"
11219,2476,5824,42.51,"2020-05-06"
11220,1311,2796,46.89,"2020-05-06"
11221,1095,2533,43.23,"2020-05-06"
11222,384,1038,36.99,"2020-05-06"
11223,1476,3439,42.92,"2020-05-06"
11224,970,2222,43.65,"2020-05-06"
11225,1022,2305,44.34,"2020-05-06"
11226,1926,4093,47.06,"2020-05-06"
11228,575,1417,40.58,"2020-05-06"
11229,1350,3272,41.26,"2020-05-06"
11230,1996,4488,44.47,"2020-05-06"
11231,369,956,38.6,"2020-05-06"
11232,432,858,50.35,"2020-05-06"
11233,1114,2484,44.85,"2020-05-06"
11234,2031,4469,45.45,"2020-05-06"
11235,1762,3908,45.09,"2020-05-06"
11236,2357,4867,48.43,"2020-05-06"
11237,809,1636,49.45,"2020-05-06"
11238,663,1639,40.45,"2020-05-06"
11239,441,990,44.55,"2020-05-06"
11354,966,2015,47.94,"2020-05-06"
11355,1097,2287,47.97,"2020-05-06"
11356,488,1084,45.02,"2020-05-06"
11357,717,1705,42.05,"2020-05-06"
11358,502,1269,39.56,"2020-05-06"
11360,288,807,35.69,"2020-05-06"
11361,397,1003,39.58,"2020-05-06"
11362,278,723,38.45,"2020-05-06"
11363,91,254,35.83,"2020-05-06"
11364,425,1150,36.96,"2020-05-06"
11365,745,1768,42.14,"2020-05-06"
11366,354,796,44.47,"2020-05-06"
11367,915,2185,41.88,"2020-05-06"
11368,3809,6487,58.72,"2020-05-06"
11369,1382,2540,54.41,"2020-05-06"
11370,1227,2452,50.04,"2020-05-06"
11372,2188,3996,54.75,"2020-05-06"
11373,2851,5462,52.2,"2020-05-06"
11374,950,2283,41.61,"2020-05-06"
11375,1390,3335,41.68,"2020-05-06"
11377,1878,4064,46.21,"2020-05-06"
11378,654,1541,42.44,"2020-05-06"
11379,712,1706,41.74,"2020-05-06"
11385,1868,4136,45.16,"2020-05-06"
11411,619,1242,49.84,"2020-05-06"
11412,1141,2288,49.87,"2020-05-06"
11413,1175,2445,48.06,"2020-05-06"
11414,735,1538,47.79,"2020-05-06"
11415,468,1055,44.36,"2020-05-06"
11416,607,1204,50.42,"2020-05-06"
11417,784,1630,48.1,"2020-05-06"
11418,936,2041,45.86,"2020-05-06"
11419,1022,2106,48.53,"2020-05-06"
11420,1206,2542,47.44,"2020-05-06"
11421,1051,2179,48.23,"2020-05-06"
11422,874,1877,46.56,"2020-05-06"
11423,904,1817,49.75,"2020-05-06"
11426,457,1007,45.38,"2020-05-06"
11427,697,1441,48.37,"2020-05-06"
11428,612,1169,52.35,"2020-05-06"
11429,841,1579,53.26,"2020-05-06"
11432,1544,3101,49.79,"2020-05-06"
11433,832,1761,47.25,"2020-05-06"
11434,1772,3727,47.54,"2020-05-06"
