"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,314,996,31.53,"2020-05-08"
10002,907,2240,40.49,"2020-05-08"
10003,407,1365,29.82,"2020-05-08"
10004,28,93,30.11,"2020-05-08"
10005,54,230,23.48,"2020-05-08"
10006,21,99,21.21,"2020-05-08"
10007,48,215,22.33,"2020-05-08"
10009,617,1921,32.12,"2020-05-08"
10010,239,1048,22.81,"2020-05-08"
10011,474,1435,33.03,"2020-05-08"
10012,149,536,27.8,"2020-05-08"
10013,226,767,29.47,"2020-05-08"
10014,273,852,32.04,"2020-05-08"
10016,617,2187,28.21,"2020-05-08"
10017,128,530,24.15,"2020-05-08"
10018,194,585,33.16,"2020-05-08"
10019,532,1655,32.15,"2020-05-08"
10021,501,1848,27.11,"2020-05-08"
10022,306,1155,26.49,"2020-05-08"
10023,506,1862,27.18,"2020-05-08"
10024,583,1987,29.34,"2020-05-08"
10025,1114,3413,32.64,"2020-05-08"
10026,581,1578,36.82,"2020-05-08"
10027,882,2333,37.81,"2020-05-08"
10028,437,1593,27.43,"2020-05-08"
10029,1595,3766,42.35,"2020-05-08"
10030,437,1128,38.74,"2020-05-08"
10031,1114,2452,45.43,"2020-05-08"
10032,1293,2937,44.02,"2020-05-08"
10033,1161,2591,44.81,"2020-05-08"
10034,611,1656,36.9,"2020-05-08"
10035,832,1939,42.91,"2020-05-08"
10036,368,1130,32.57,"2020-05-08"
10037,381,979,38.92,"2020-05-08"
10038,226,639,35.37,"2020-05-08"
10039,453,1187,38.16,"2020-05-08"
10040,948,2312,41,"2020-05-08"
10044,190,451,42.13,"2020-05-08"
10065,295,1218,24.22,"2020-05-08"
10069,46,177,25.99,"2020-05-08"
10075,346,1128,30.67,"2020-05-08"
10128,569,2223,25.6,"2020-05-08"
10280,38,191,19.9,"2020-05-08"
10282,64,184,34.78,"2020-05-08"
10301,1047,2614,40.05,"2020-05-08"
10302,581,1341,43.33,"2020-05-08"
10303,775,1888,41.05,"2020-05-08"
10304,1278,3160,40.44,"2020-05-08"
10305,1119,3047,36.72,"2020-05-08"
10306,1335,3913,34.12,"2020-05-08"
10307,359,1031,34.82,"2020-05-08"
10308,594,1827,32.51,"2020-05-08"
10309,791,2315,34.17,"2020-05-08"
10310,677,1816,37.28,"2020-05-08"
10312,1401,3964,35.34,"2020-05-08"
10314,2462,6530,37.7,"2020-05-08"
10451,1455,3308,43.98,"2020-05-08"
10452,2049,4639,44.17,"2020-05-08"
10453,2059,4634,44.43,"2020-05-08"
10454,1000,2400,41.67,"2020-05-08"
10455,1123,2522,44.53,"2020-05-08"
10456,2210,5177,42.69,"2020-05-08"
10457,1835,4255,43.13,"2020-05-08"
10458,1803,4229,42.63,"2020-05-08"
10459,1339,2873,46.61,"2020-05-08"
10460,1463,3301,44.32,"2020-05-08"
10461,1735,4271,40.62,"2020-05-08"
10462,2042,4895,41.72,"2020-05-08"
10463,1697,4364,38.89,"2020-05-08"
10464,114,385,29.61,"2020-05-08"
10465,1390,3774,36.83,"2020-05-08"
10466,2133,4725,45.14,"2020-05-08"
10467,2997,6557,45.71,"2020-05-08"
10468,2209,4559,48.45,"2020-05-08"
10469,2637,5610,47.01,"2020-05-08"
10470,405,1014,39.94,"2020-05-08"
10471,543,1442,37.66,"2020-05-08"
10472,1730,3542,48.84,"2020-05-08"
