"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,299,737,40.57,"2020-04-27"
10002,808,1684,47.98,"2020-04-27"
10003,378,1014,37.28,"2020-04-27"
10004,26,77,33.77,"2020-04-27"
10005,49,166,29.52,"2020-04-27"
10006,21,77,27.27,"2020-04-27"
10007,46,176,26.14,"2020-04-27"
10009,579,1473,39.31,"2020-04-27"
10010,224,733,30.56,"2020-04-27"
10011,449,1079,41.61,"2020-04-27"
10012,135,414,32.61,"2020-04-27"
10013,201,553,36.35,"2020-04-27"
10014,251,639,39.28,"2020-04-27"
10016,559,1554,35.97,"2020-04-27"
10017,125,396,31.57,"2020-04-27"
10018,182,479,38,"2020-04-27"
10019,487,1222,39.85,"2020-04-27"
10021,469,1371,34.21,"2020-04-27"
10022,280,840,33.33,"2020-04-27"
10023,474,1383,34.27,"2020-04-27"
10024,533,1501,35.51,"2020-04-27"
10025,1014,2543,39.87,"2020-04-27"
10026,510,1186,43,"2020-04-27"
10027,759,1635,46.42,"2020-04-27"
10028,399,1197,33.33,"2020-04-27"
10029,1410,2883,48.91,"2020-04-27"
10030,395,791,49.94,"2020-04-27"
10031,973,1756,55.41,"2020-04-27"
10032,1125,2111,53.29,"2020-04-27"
10033,1002,1811,55.33,"2020-04-27"
10034,534,1115,47.89,"2020-04-27"
10035,745,1442,51.66,"2020-04-27"
10036,341,819,41.64,"2020-04-27"
10037,339,716,47.35,"2020-04-27"
10038,196,456,42.98,"2020-04-27"
10039,397,851,46.65,"2020-04-27"
10040,748,1379,54.24,"2020-04-27"
10044,153,345,44.35,"2020-04-27"
10065,273,901,30.3,"2020-04-27"
10069,46,139,33.09,"2020-04-27"
10075,335,846,39.6,"2020-04-27"
10128,536,1638,32.72,"2020-04-27"
10280,35,133,26.32,"2020-04-27"
10282,62,143,43.36,"2020-04-27"
10301,955,2127,44.9,"2020-04-27"
10302,523,1109,47.16,"2020-04-27"
10303,721,1577,45.72,"2020-04-27"
10304,1153,2518,45.79,"2020-04-27"
10305,1019,2499,40.78,"2020-04-27"
10306,1241,3249,38.2,"2020-04-27"
10307,341,865,39.42,"2020-04-27"
10308,569,1528,37.24,"2020-04-27"
10309,753,1995,37.74,"2020-04-27"
10310,600,1460,41.1,"2020-04-27"
10312,1323,3277,40.37,"2020-04-27"
10314,2264,5403,41.9,"2020-04-27"
10451,1313,2490,52.73,"2020-04-27"
10452,1798,3338,53.86,"2020-04-27"
10453,1796,3329,53.95,"2020-04-27"
10454,892,1714,52.04,"2020-04-27"
10455,976,1838,53.1,"2020-04-27"
10456,1917,3618,52.99,"2020-04-27"
10457,1597,3039,52.55,"2020-04-27"
10458,1574,3119,50.46,"2020-04-27"
10459,1176,2163,54.37,"2020-04-27"
10460,1278,2460,51.95,"2020-04-27"
10461,1536,3266,47.03,"2020-04-27"
10462,1835,3849,47.67,"2020-04-27"
10463,1478,3353,44.08,"2020-04-27"
10464,113,317,35.65,"2020-04-27"
10465,1279,3015,42.42,"2020-04-27"
10466,1981,3817,51.9,"2020-04-27"
10467,2689,5121,52.51,"2020-04-27"
10468,1930,3495,55.22,"2020-04-27"
10469,2394,4478,53.46,"2020-04-27"
10470,375,812,46.18,"2020-04-27"
10471,478,1156,41.35,"2020-04-27"
10472,1536,2755,55.75,"2020-04-27"
10473,1552,3164,49.05,"2020-04-27"
10474,267,517,51.64,"2020-04-27"
10475,1445,3252,44.43,"2020-04-27"
11004,468,802,58.35,"2020-04-27"
11101,493,1171,42.1,"2020-04-27"
11102,478,978,48.88,"2020-04-27"
11103,421,929,45.32,"2020-04-27"
11104,380,796,47.74,"2020-04-27"
11105,406,1011,40.16,"2020-04-27"
11106,502,1123,44.7,"2020-04-27"
11109,44,152,28.95,"2020-04-27"
11201,501,1378,36.36,"2020-04-27"
11203,1606,2951,54.42,"2020-04-27"
11204,1575,3024,52.08,"2020-04-27"
11205,559,1268,44.09,"2020-04-27"
11206,1173,2376,49.37,"2020-04-27"
11207,1551,3049,50.87,"2020-04-27"
11208,1740,3146,55.31,"2020-04-27"
11209,914,2098,43.57,"2020-04-27"
11210,1350,2550,52.94,"2020-04-27"
11211,1584,3078,51.46,"2020-04-27"
11212,1331,2570,51.79,"2020-04-27"
11213,1131,2157,52.43,"2020-04-27"
11214,1190,2311,51.49,"2020-04-27"
11215,500,1309,38.2,"2020-04-27"
11216,556,1217,45.69,"2020-04-27"
11217,446,939,47.5,"2020-04-27"
11218,1350,2519,53.59,"2020-04-27"
11219,2230,4176,53.4,"2020-04-27"
11220,1164,2136,54.49,"2020-04-27"
11221,984,1904,51.68,"2020-04-27"
11222,352,811,43.4,"2020-04-27"
11223,1343,2712,49.52,"2020-04-27"
11224,840,1582,53.1,"2020-04-27"
11225,954,1798,53.06,"2020-04-27"
11226,1678,3085,54.39,"2020-04-27"
11228,530,1108,47.83,"2020-04-27"
11229,1244,2571,48.39,"2020-04-27"
11230,1797,3439,52.25,"2020-04-27"
11231,344,757,45.44,"2020-04-27"
11232,393,657,59.82,"2020-04-27"
11233,987,1917,51.49,"2020-04-27"
11234,1892,3644,51.92,"2020-04-27"
11235,1545,3008,51.36,"2020-04-27"
11236,2157,3890,55.45,"2020-04-27"
11237,696,1208,57.62,"2020-04-27"
11238,609,1258,48.41,"2020-04-27"
11239,402,768,52.34,"2020-04-27"
11354,864,1604,53.87,"2020-04-27"
11355,965,1801,53.58,"2020-04-27"
11356,449,871,51.55,"2020-04-27"
11357,653,1377,47.42,"2020-04-27"
11358,459,1007,45.58,"2020-04-27"
11360,269,652,41.26,"2020-04-27"
11361,363,801,45.32,"2020-04-27"
11362,257,600,42.83,"2020-04-27"
11363,86,216,39.81,"2020-04-27"
11364,393,915,42.95,"2020-04-27"
11365,669,1403,47.68,"2020-04-27"
11366,336,652,51.53,"2020-04-27"
11367,827,1713,48.28,"2020-04-27"
11368,3326,4964,67,"2020-04-27"
11369,1231,1927,63.88,"2020-04-27"
11370,1144,2071,55.24,"2020-04-27"
11372,1982,3166,62.6,"2020-04-27"
11373,2559,4215,60.71,"2020-04-27"
11374,892,1848,48.27,"2020-04-27"
11375,1293,2725,47.45,"2020-04-27"
11377,1670,3021,55.28,"2020-04-27"
11378,600,1231,48.74,"2020-04-27"
11379,651,1390,46.83,"2020-04-27"
11385,1666,3221,51.72,"2020-04-27"
11411,567,994,57.04,"2020-04-27"
11412,1050,1904,55.15,"2020-04-27"
11413,1081,1988,54.38,"2020-04-27"
11414,684,1307,52.33,"2020-04-27"
11415,425,877,48.46,"2020-04-27"
11416,535,953,56.14,"2020-04-27"
11417,693,1297,53.43,"2020-04-27"
11418,827,1570,52.68,"2020-04-27"
11419,901,1668,54.02,"2020-04-27"
11420,1093,2062,53.01,"2020-04-27"
11421,933,1707,54.66,"2020-04-27"
11422,799,1521,52.53,"2020-04-27"
11423,803,1440,55.76,"2020-04-27"
11426,425,862,49.3,"2020-04-27"
11427,649,1198,54.17,"2020-04-27"
11428,560,982,57.03,"2020-04-27"
11429,787,1325,59.4,"2020-04-27"
11432,1350,2408,56.06,"2020-04-27"
11433,752,1412,53.26,"2020-04-27"
11434,1620,3004,53.93,"2020-04-27"
11435,1269,2423,52.37,"2020-04-27"
11436,425,809,52.53,"2020-04-27"
11691,1795,3083,58.22,"2020-04-27"
11692,473,860,55,"2020-04-27"
11693,281,560,50.18,"2020-04-27"
11694,569,1145,49.69,"2020-04-27"
11697,81,181,44.75,"2020-04-27"
