"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,318,1090,29.17,"2020-05-10"
10002,924,2401,38.48,"2020-05-10"
10003,413,1504,27.46,"2020-05-10"
10004,28,101,27.72,"2020-05-10"
10005,54,250,21.6,"2020-05-10"
10006,23,106,21.7,"2020-05-10"
10007,48,238,20.17,"2020-05-10"
10009,631,2062,30.6,"2020-05-10"
10010,241,1137,21.2,"2020-05-10"
10011,476,1562,30.47,"2020-05-10"
10012,150,568,26.41,"2020-05-10"
10013,229,835,27.43,"2020-05-10"
10014,275,907,30.32,"2020-05-10"
10016,622,2365,26.3,"2020-05-10"
10017,130,588,22.11,"2020-05-10"
10018,196,610,32.13,"2020-05-10"
10019,541,1792,30.19,"2020-05-10"
10021,511,1988,25.7,"2020-05-10"
10022,312,1251,24.94,"2020-05-10"
10023,510,1987,25.67,"2020-05-10"
10024,590,2138,27.6,"2020-05-10"
10025,1130,3658,30.89,"2020-05-10"
10026,590,1693,34.85,"2020-05-10"
10027,898,2523,35.59,"2020-05-10"
10028,439,1697,25.87,"2020-05-10"
10029,1622,3985,40.7,"2020-05-10"
10030,442,1209,36.56,"2020-05-10"
10031,1141,2696,42.32,"2020-05-10"
10032,1318,3198,41.21,"2020-05-10"
10033,1179,2800,42.11,"2020-05-10"
10034,624,1848,33.77,"2020-05-10"
10035,845,2043,41.36,"2020-05-10"
10036,372,1209,30.77,"2020-05-10"
10037,386,1044,36.97,"2020-05-10"
10038,227,682,33.28,"2020-05-10"
10039,457,1268,36.04,"2020-05-10"
10040,988,2540,38.9,"2020-05-10"
10044,196,487,40.25,"2020-05-10"
10065,302,1300,23.23,"2020-05-10"
10069,48,192,25,"2020-05-10"
10075,348,1190,29.24,"2020-05-10"
10128,579,2363,24.5,"2020-05-10"
10280,41,203,20.2,"2020-05-10"
10282,64,197,32.49,"2020-05-10"
10301,1067,2747,38.84,"2020-05-10"
10302,591,1394,42.4,"2020-05-10"
10303,789,1963,40.19,"2020-05-10"
10304,1293,3300,39.18,"2020-05-10"
10305,1137,3159,35.99,"2020-05-10"
10306,1361,4075,33.4,"2020-05-10"
10307,360,1053,34.19,"2020-05-10"
