"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,191,408,46.81,"2020-04-09"
10002,456,889,51.29,"2020-04-09"
10003,253,597,42.38,"2020-04-09"
10004,21,48,43.75,"2020-04-09"
10005,36,108,33.33,"2020-04-09"
10006,8,39,20.51,"2020-04-09"
10007,31,95,32.63,"2020-04-09"
10009,333,730,45.62,"2020-04-09"
10010,150,413,36.32,"2020-04-09"
10011,329,678,48.53,"2020-04-09"
10012,91,257,35.41,"2020-04-09"
10013,140,322,43.48,"2020-04-09"
10014,198,424,46.7,"2020-04-09"
10016,389,906,42.94,"2020-04-09"
10017,80,233,34.33,"2020-04-09"
10018,126,270,46.67,"2020-04-09"
10019,298,674,44.21,"2020-04-09"
10021,325,836,38.88,"2020-04-09"
10022,187,490,38.16,"2020-04-09"
10023,289,753,38.38,"2020-04-09"
10024,339,900,37.67,"2020-04-09"
10025,513,1215,42.22,"2020-04-09"
10026,255,514,49.61,"2020-04-09"
10027,389,751,51.8,"2020-04-09"
10028,284,716,39.66,"2020-04-09"
10029,680,1276,53.29,"2020-04-09"
10030,232,383,60.57,"2020-04-09"
10031,483,779,62,"2020-04-09"
10032,586,983,59.61,"2020-04-09"
10033,521,850,61.29,"2020-04-09"
10034,273,499,54.71,"2020-04-09"
10035,358,668,53.59,"2020-04-09"
10036,207,435,47.59,"2020-04-09"
10037,194,344,56.4,"2020-04-09"
10038,126,259,48.65,"2020-04-09"
10039,214,392,54.59,"2020-04-09"
10040,399,643,62.05,"2020-04-09"
10044,81,176,46.02,"2020-04-09"
10065,197,571,34.5,"2020-04-09"
10069,33,83,39.76,"2020-04-09"
10075,241,517,46.62,"2020-04-09"
10128,352,891,39.51,"2020-04-09"
10280,25,76,32.89,"2020-04-09"
10282,37,76,48.68,"2020-04-09"
10301,457,848,53.89,"2020-04-09"
10302,236,446,52.91,"2020-04-09"
10303,363,636,57.08,"2020-04-09"
10304,634,1191,53.23,"2020-04-09"
10305,540,1157,46.67,"2020-04-09"
10306,705,1545,45.63,"2020-04-09"
10307,186,370,50.27,"2020-04-09"
10308,344,756,45.5,"2020-04-09"
10309,416,913,45.56,"2020-04-09"
10310,294,620,47.42,"2020-04-09"
10312,794,1554,51.09,"2020-04-09"
10314,1173,2394,49,"2020-04-09"
10451,646,1087,59.43,"2020-04-09"
10452,869,1345,64.61,"2020-04-09"
10453,941,1475,63.8,"2020-04-09"
10454,455,732,62.16,"2020-04-09"
10455,457,762,59.97,"2020-04-09"
10456,948,1541,61.52,"2020-04-09"
10457,820,1308,62.69,"2020-04-09"
10458,807,1386,58.23,"2020-04-09"
10459,604,989,61.07,"2020-04-09"
10460,649,1086,59.76,"2020-04-09"
10461,837,1529,54.74,"2020-04-09"
10462,987,1748,56.46,"2020-04-09"
10463,681,1421,47.92,"2020-04-09"
10464,63,154,40.91,"2020-04-09"
10465,703,1418,49.58,"2020-04-09"
10466,970,1623,59.77,"2020-04-09"
10467,1442,2385,60.46,"2020-04-09"
10468,995,1488,66.87,"2020-04-09"
10469,1208,1950,61.95,"2020-04-09"
10470,205,368,55.71,"2020-04-09"
10471,245,553,44.3,"2020-04-09"
10472,760,1170,64.96,"2020-04-09"
10473,858,1460,58.77,"2020-04-09"
10474,138,219,63.01,"2020-04-09"
10475,707,1243,56.88,"2020-04-09"
11429,432,615,70.24,"2020-04-09"
11004,278,424,65.57,"2020-04-09"
11101,298,580,51.38,"2020-04-09"
11102,256,461,55.53,"2020-04-09"
11103,243,433,56.12,"2020-04-09"
11104,219,367,59.67,"2020-04-09"
11105,226,445,50.79,"2020-04-09"
11106,293,541,54.16,"2020-04-09"
11109,30,87,34.48,"2020-04-09"
11201,321,793,40.48,"2020-04-09"
11203,792,1210,65.45,"2020-04-09"
11204,994,1594,62.36,"2020-04-09"
11205,347,642,54.05,"2020-04-09"
11206,648,1105,58.64,"2020-04-09"
11207,763,1253,60.89,"2020-04-09"
11208,841,1296,64.89,"2020-04-09"
11209,497,994,50,"2020-04-09"
11210,776,1241,62.53,"2020-04-09"
11211,1066,1659,64.26,"2020-04-09"
11212,698,1078,64.75,"2020-04-09"
11213,682,1107,61.61,"2020-04-09"
11214,616,1113,55.35,"2020-04-09"
11215,307,706,43.48,"2020-04-09"
11216,318,596,53.36,"2020-04-09"
11217,258,508,50.79,"2020-04-09"
11218,856,1422,60.2,"2020-04-09"
11219,1513,2199,68.8,"2020-04-09"
11220,656,1048,62.6,"2020-04-09"
11221,538,890,60.45,"2020-04-09"
11222,205,450,45.56,"2020-04-09"
