"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,304,826,36.8,"2020-05-01"
10002,848,1910,44.4,"2020-05-01"
10003,389,1156,33.65,"2020-05-01"
10004,26,82,31.71,"2020-05-01"
10005,53,197,26.9,"2020-05-01"
10006,21,86,24.42,"2020-05-01"
10007,45,189,23.81,"2020-05-01"
10009,601,1664,36.12,"2020-05-01"
10010,228,833,27.37,"2020-05-01"
10011,453,1199,37.78,"2020-05-01"
10012,140,461,30.37,"2020-05-01"
10013,212,638,33.23,"2020-05-01"
10014,258,714,36.13,"2020-05-01"
10016,587,1788,32.83,"2020-05-01"
10017,124,446,27.8,"2020-05-01"
10018,189,525,36,"2020-05-01"
10019,509,1430,35.59,"2020-05-01"
10021,489,1553,31.49,"2020-05-01"
10022,290,975,29.74,"2020-05-01"
10023,487,1566,31.1,"2020-05-01"
10024,557,1699,32.78,"2020-05-01"
10025,1065,2891,36.84,"2020-05-01"
10026,540,1330,40.6,"2020-05-01"
10027,805,1872,43,"2020-05-01"
10028,423,1358,31.15,"2020-05-01"
10029,1492,3242,46.02,"2020-05-01"
10030,419,937,44.72,"2020-05-01"
10031,1028,2008,51.2,"2020-05-01"
10032,1185,2419,48.99,"2020-05-01"
10033,1064,2086,51.01,"2020-05-01"
10034,569,1253,45.41,"2020-05-01"
10035,779,1613,48.3,"2020-05-01"
10036,353,978,36.09,"2020-05-01"
10037,350,816,42.89,"2020-05-01"
10038,207,525,39.43,"2020-05-01"
10039,423,983,43.03,"2020-05-01"
10040,801,1596,50.19,"2020-05-01"
10044,170,388,43.81,"2020-05-01"
10065,281,984,28.56,"2020-05-01"
10069,46,156,29.49,"2020-05-01"
10075,339,958,35.39,"2020-05-01"
10128,548,1848,29.65,"2020-05-01"
10280,36,157,22.93,"2020-05-01"
10282,64,160,40,"2020-05-01"
10301,990,2324,42.6,"2020-05-01"
10302,546,1203,45.39,"2020-05-01"
10303,747,1705,43.81,"2020-05-01"
10304,1200,2739,43.81,"2020-05-01"
10305,1071,2727,39.27,"2020-05-01"
10306,1283,3536,36.28,"2020-05-01"
10307,345,954,36.16,"2020-05-01"
10308,578,1651,35.01,"2020-05-01"
10309,771,2136,36.1,"2020-05-01"
10310,636,1607,39.58,"2020-05-01"
10312,1354,3573,37.9,"2020-05-01"
10314,2363,5892,40.11,"2020-05-01"
10451,1378,2779,49.59,"2020-05-01"
10452,1920,3857,49.78,"2020-05-01"
10453,1912,3818,50.08,"2020-05-01"
10454,949,2017,47.05,"2020-05-01"
10455,1041,2114,49.24,"2020-05-01"
