"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,231,480,48.12,"2020-04-14"
10002,578,1094,52.83,"2020-04-14"
10003,290,692,41.91,"2020-04-14"
10004,23,59,38.98,"2020-04-14"
10005,40,122,32.79,"2020-04-14"
10006,11,46,23.91,"2020-04-14"
10007,35,112,31.25,"2020-04-14"
10009,407,918,44.34,"2020-04-14"
10010,175,486,36.01,"2020-04-14"
10011,365,755,48.34,"2020-04-14"
10012,101,293,34.47,"2020-04-14"
10013,166,374,44.39,"2020-04-14"
10014,216,472,45.76,"2020-04-14"
10016,454,1044,43.49,"2020-04-14"
10017,95,273,34.8,"2020-04-14"
10018,159,339,46.9,"2020-04-14"
10019,350,787,44.47,"2020-04-14"
10021,400,1011,39.56,"2020-04-14"
10022,231,584,39.55,"2020-04-14"
10023,368,900,40.89,"2020-04-14"
10024,400,1035,38.65,"2020-04-14"
10025,685,1544,44.37,"2020-04-14"
10026,334,650,51.38,"2020-04-14"
10027,496,949,52.27,"2020-04-14"
10028,330,844,39.1,"2020-04-14"
10029,889,1654,53.75,"2020-04-14"
10030,289,467,61.88,"2020-04-14"
10031,660,1017,64.9,"2020-04-14"
10032,775,1262,61.41,"2020-04-14"
10033,671,1080,62.13,"2020-04-14"
10034,367,646,56.81,"2020-04-14"
10035,475,852,55.75,"2020-04-14"
10036,241,523,46.08,"2020-04-14"
10037,246,427,57.61,"2020-04-14"
10038,159,314,50.64,"2020-04-14"
10039,277,504,54.96,"2020-04-14"
10040,532,829,64.17,"2020-04-14"
10044,95,207,45.89,"2020-04-14"
10065,224,654,34.25,"2020-04-14"
10069,37,96,38.54,"2020-04-14"
10075,274,581,47.16,"2020-04-14"
10128,424,1075,39.44,"2020-04-14"
10280,30,87,34.48,"2020-04-14"
10282,50,99,50.51,"2020-04-14"
10301,660,1224,53.92,"2020-04-14"
10302,353,662,53.32,"2020-04-14"
10303,527,942,55.94,"2020-04-14"
10304,834,1623,51.39,"2020-04-14"
10305,746,1591,46.89,"2020-04-14"
10306,941,2098,44.85,"2020-04-14"
10307,255,541,47.13,"2020-04-14"
10308,450,1055,42.65,"2020-04-14"
10309,594,1345,44.16,"2020-04-14"
10310,413,876,47.15,"2020-04-14"
10312,1065,2225,47.87,"2020-04-14"
10314,1679,3460,48.53,"2020-04-14"
10451,855,1411,60.6,"2020-04-14"
10452,1156,1770,65.31,"2020-04-14"
10453,1234,1972,62.58,"2020-04-14"
