"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,285,661,43.12,"2020-04-24"
10002,774,1561,49.58,"2020-04-24"
10003,367,941,39,"2020-04-24"
10004,25,73,34.25,"2020-04-24"
10005,47,150,31.33,"2020-04-24"
10006,15,63,23.81,"2020-04-24"
10007,46,163,28.22,"2020-04-24"
10009,553,1349,40.99,"2020-04-24"
10010,215,665,32.33,"2020-04-24"
10011,422,983,42.93,"2020-04-24"
10012,130,380,34.21,"2020-04-24"
10013,193,499,38.68,"2020-04-24"
10014,244,601,40.6,"2020-04-24"
10016,539,1434,37.59,"2020-04-24"
10017,118,367,32.15,"2020-04-24"
10018,176,427,41.22,"2020-04-24"
10019,468,1118,41.86,"2020-04-24"
10021,458,1278,35.84,"2020-04-24"
10022,268,777,34.49,"2020-04-24"
10023,461,1280,36.02,"2020-04-24"
10024,515,1391,37.02,"2020-04-24"
10025,956,2306,41.46,"2020-04-24"
10026,466,1006,46.32,"2020-04-24"
10027,714,1449,49.28,"2020-04-24"
10028,391,1130,34.6,"2020-04-24"
10029,1319,2597,50.79,"2020-04-24"
10030,375,696,53.88,"2020-04-24"
10031,896,1522,58.87,"2020-04-24"
10032,1051,1861,56.48,"2020-04-24"
10033,916,1568,58.42,"2020-04-24"
10034,506,988,51.21,"2020-04-24"
10035,697,1276,54.62,"2020-04-24"
10036,328,756,43.39,"2020-04-24"
10037,312,609,51.23,"2020-04-24"
10038,179,407,43.98,"2020-04-24"
10039,373,745,50.07,"2020-04-24"
10040,700,1205,58.09,"2020-04-24"
10044,140,306,45.75,"2020-04-24"
10065,264,838,31.5,"2020-04-24"
10069,46,134,34.33,"2020-04-24"
10075,324,777,41.7,"2020-04-24"
10128,525,1507,34.84,"2020-04-24"
10280,35,123,28.46,"2020-04-24"
10282,59,131,45.04,"2020-04-24"
10301,914,1952,46.82,"2020-04-24"
10302,494,1015,48.67,"2020-04-24"
10303,681,1439,47.32,"2020-04-24"
10304,1101,2333,47.19,"2020-04-24"
10305,975,2324,41.95,"2020-04-24"
10306,1196,3084,38.78,"2020-04-24"
10307,331,812,40.76,"2020-04-24"
10308,551,1446,38.11,"2020-04-24"
