"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,323,1211,26.67,"2020-05-14"
10002,936,2586,36.19,"2020-05-14"
10003,422,1654,25.51,"2020-05-14"
10004,28,113,24.78,"2020-05-14"
10005,55,278,19.78,"2020-05-14"
10006,22,110,20,"2020-05-14"
10007,48,265,18.11,"2020-05-14"
10009,637,2226,28.62,"2020-05-14"
10010,245,1248,19.63,"2020-05-14"
10011,481,1740,27.64,"2020-05-14"
10012,152,636,23.9,"2020-05-14"
10013,238,944,25.21,"2020-05-14"
10014,275,1007,27.31,"2020-05-14"
10016,629,2615,24.05,"2020-05-14"
10017,130,650,20,"2020-05-14"
10018,198,661,29.95,"2020-05-14"
10019,550,1948,28.23,"2020-05-14"
10021,515,2202,23.39,"2020-05-14"
10022,320,1365,23.44,"2020-05-14"
10023,515,2221,23.19,"2020-05-14"
10024,600,2344,25.6,"2020-05-14"
10025,1149,3985,28.83,"2020-05-14"
10026,597,1836,32.52,"2020-05-14"
10027,924,2748,33.62,"2020-05-14"
10028,445,1885,23.61,"2020-05-14"
10029,1654,4281,38.64,"2020-05-14"
10030,449,1309,34.3,"2020-05-14"
10031,1176,2995,39.27,"2020-05-14"
10032,1340,3440,38.95,"2020-05-14"
10033,1201,3073,39.08,"2020-05-14"
10034,629,2001,31.43,"2020-05-14"
10035,869,2242,38.76,"2020-05-14"
10036,381,1313,29.02,"2020-05-14"
10037,485,1701,28.51,"2020-05-14"
10038,227,751,30.23,"2020-05-14"
10039,458,1365,33.55,"2020-05-14"
10040,1010,2700,37.41,"2020-05-14"
10044,206,542,38.01,"2020-05-14"
10065,305,1450,21.03,"2020-05-14"
10069,50,212,23.58,"2020-05-14"
10075,350,1288,27.17,"2020-05-14"
10128,595,2595,22.93,"2020-05-14"
10280,41,225,18.22,"2020-05-14"
10282,64,205,31.22,"2020-05-14"
10301,1077,2891,37.25,"2020-05-14"
10302,598,1448,41.3,"2020-05-14"
10303,802,2043,39.26,"2020-05-14"
10304,1304,3497,37.29,"2020-05-14"
10305,1152,3318,34.72,"2020-05-14"
10306,1373,4292,31.99,"2020-05-14"
10307,361,1114,32.41,"2020-05-14"
10308,608,1980,30.71,"2020-05-14"
10309,801,2502,32.01,"2020-05-14"
10310,688,1981,34.73,"2020-05-14"
10312,1429,4359,32.78,"2020-05-14"
10314,2508,7061,35.52,"2020-05-14"
10451,1492,3701,40.31,"2020-05-14"
10452,2137,5234,40.83,"2020-05-14"
10453,2167,5205,41.63,"2020-05-14"
10454,1045,2846,36.72,"2020-05-14"
10455,1166,2865,40.7,"2020-05-14"
10456,2293,5914,38.77,"2020-05-14"
10457,1913,4823,39.66,"2020-05-14"
10458,1874,4744,39.5,"2020-05-14"
10459,1383,3211,43.07,"2020-05-14"
10460,1520,3711,40.96,"2020-05-14"
10461,1778,4770,37.27,"2020-05-14"
10462,2122,5497,38.6,"2020-05-14"
10463,1763,4882,36.11,"2020-05-14"
10464,115,419,27.45,"2020-05-14"
10465,1426,4181,34.11,"2020-05-14"
10466,2192,5180,42.32,"2020-05-14"
10467,3101,7276,42.62,"2020-05-14"
10468,2302,5171,44.52,"2020-05-14"
10469,2780,6456,43.06,"2020-05-14"
10470,422,1224,34.48,"2020-05-14"
10471,614,1858,33.05,"2020-05-14"
10472,1798,3994,45.02,"2020-05-14"
10473,1793,4484,39.99,"2020-05-14"
10474,303,743,40.78,"2020-05-14"
10475,1620,4302,37.66,"2020-05-14"
11004,535,1061,50.42,"2020-05-14"
11101,574,1822,31.5,"2020-05-14"
11102,555,1558,35.62,"2020-05-14"
11103,501,1480,33.85,"2020-05-14"
11104,448,1236,36.25,"2020-05-14"
11105,454,1511,30.05,"2020-05-14"
11106,593,1701,34.86,"2020-05-14"
11109,46,237,19.41,"2020-05-14"
11201,624,2451,25.46,"2020-05-14"
11203,1892,4463,42.39,"2020-05-14"
11204,1841,5117,35.98,"2020-05-14"
11205,661,2184,30.27,"2020-05-14"
11206,1413,4021,35.14,"2020-05-14"
11207,1897,4853,39.09,"2020-05-14"
11208,2118,4933,42.94,"2020-05-14"
11209,1053,3244,32.46,"2020-05-14"
11210,1540,3813,40.39,"2020-05-14"
11211,1903,5674,33.54,"2020-05-14"
11212,1650,4302,38.35,"2020-05-14"
