"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,321,1176,27.3,"2020-05-13"
10002,934,2513,37.17,"2020-05-13"
10003,420,1602,26.22,"2020-05-13"
10004,28,110,25.45,"2020-05-13"
10005,54,266,20.3,"2020-05-13"
10006,22,109,20.18,"2020-05-13"
10007,48,251,19.12,"2020-05-13"
10009,636,2163,29.4,"2020-05-13"
10010,242,1207,20.05,"2020-05-13"
10011,480,1673,28.69,"2020-05-13"
10012,152,611,24.88,"2020-05-13"
10013,234,910,25.71,"2020-05-13"
10014,275,968,28.41,"2020-05-13"
10016,625,2519,24.81,"2020-05-13"
10017,130,612,21.24,"2020-05-13"
10018,198,638,31.03,"2020-05-13"
10019,550,1890,29.1,"2020-05-13"
10021,512,2112,24.24,"2020-05-13"
10022,315,1318,23.9,"2020-05-13"
10023,514,2131,24.12,"2020-05-13"
10024,598,2258,26.48,"2020-05-13"
10025,1145,3856,29.69,"2020-05-13"
10026,597,1776,33.61,"2020-05-13"
10027,918,2666,34.43,"2020-05-13"
10028,443,1821,24.33,"2020-05-13"
10029,1641,4160,39.45,"2020-05-13"
10030,446,1269,35.15,"2020-05-13"
10031,1174,2897,40.52,"2020-05-13"
10032,1332,3339,39.89,"2020-05-13"
10033,1193,2955,40.37,"2020-05-13"
10034,627,1942,32.29,"2020-05-13"
10035,855,2151,39.75,"2020-05-13"
10036,379,1275,29.73,"2020-05-13"
10037,443,1402,31.6,"2020-05-13"
10038,227,724,31.35,"2020-05-13"
10039,459,1318,34.83,"2020-05-13"
10040,1005,2639,38.08,"2020-05-13"
10044,203,522,38.89,"2020-05-13"
10065,303,1384,21.89,"2020-05-13"
10069,50,205,24.39,"2020-05-13"
10075,348,1246,27.93,"2020-05-13"
10128,593,2508,23.64,"2020-05-13"
10280,41,218,18.81,"2020-05-13"
10282,64,201,31.84,"2020-05-13"
10301,1077,2842,37.9,"2020-05-13"
10302,596,1428,41.74,"2020-05-13"
10303,794,2011,39.48,"2020-05-13"
10304,1299,3440,37.76,"2020-05-13"
10305,1148,3257,35.25,"2020-05-13"
10306,1368,4197,32.59,"2020-05-13"
10307,361,1099,32.85,"2020-05-13"
10308,607,1952,31.1,"2020-05-13"
10309,798,2448,32.6,"2020-05-13"
10310,685,1944,35.24,"2020-05-13"
10312,1425,4271,33.36,"2020-05-13"
10314,2500,6958,35.93,"2020-05-13"
10451,1488,3625,41.05,"2020-05-13"
10452,2109,5085,41.47,"2020-05-13"
10453,2150,5095,42.2,"2020-05-13"
10454,1044,2770,37.69,"2020-05-13"
10455,1155,2809,41.12,"2020-05-13"
10456,2272,5744,39.55,"2020-05-13"
10457,1905,4722,40.34,"2020-05-13"
10458,1857,4639,40.03,"2020-05-13"
10459,1377,3151,43.7,"2020-05-13"
10460,1506,3628,41.51,"2020-05-13"
10461,1771,4679,37.85,"2020-05-13"
10462,2112,5389,39.19,"2020-05-13"
10463,1758,4792,36.69,"2020-05-13"
10464,115,416,27.64,"2020-05-13"
10465,1423,4106,34.66,"2020-05-13"
10466,2187,5101,42.87,"2020-05-13"
10467,3085,7155,43.12,"2020-05-13"
10468,2284,5060,45.14,"2020-05-13"
10469,2774,6354,43.66,"2020-05-13"
10470,420,1155,36.36,"2020-05-13"
10471,561,1629,34.44,"2020-05-13"
10472,1785,3901,45.76,"2020-05-13"
10473,1792,4411,40.63,"2020-05-13"
10474,302,732,41.26,"2020-05-13"
10475,1609,4210,38.22,"2020-05-13"
11004,535,1042,51.34,"2020-05-13"
11101,573,1748,32.78,"2020-05-13"
11102,554,1505,36.81,"2020-05-13"
11103,494,1416,34.89,"2020-05-13"
11104,449,1207,37.2,"2020-05-13"
11105,455,1467,31.02,"2020-05-13"
11106,591,1639,36.06,"2020-05-13"
11109,46,230,20,"2020-05-13"
11201,614,2362,25.99,"2020-05-13"
11203,1882,4358,43.18,"2020-05-13"
11204,1821,4857,37.49,"2020-05-13"
11205,658,2131,30.88,"2020-05-13"
11206,1409,3898,36.15,"2020-05-13"
11207,1879,4698,40,"2020-05-13"
11208,2100,4791,43.83,"2020-05-13"
11209,1052,3156,33.33,"2020-05-13"
11210,1534,3698,41.48,"2020-05-13"
11211,1883,5461,34.48,"2020-05-13"
11212,1641,4183,39.23,"2020-05-13"
11213,1264,3098,40.8,"2020-05-13"
11214,1395,3486,40.02,"2020-05-13"
11215,561,2038,27.53,"2020-05-13"
11216,660,1989,33.18,"2020-05-13"
11217,541,1540,35.13,"2020-05-13"
11218,1557,3877,40.16,"2020-05-13"
11219,2645,7678,34.45,"2020-05-13"
11220,1392,3356,41.48,"2020-05-13"
11221,1148,2999,38.28,"2020-05-13"
11222,403,1258,32.03,"2020-05-13"
11223,1562,4047,38.6,"2020-05-13"
11224,1042,2629,39.63,"2020-05-13"
11225,1071,2677,40.01,"2020-05-13"
11226,2017,4743,42.53,"2020-05-13"
11228,595,1619,36.75,"2020-05-13"
11229,1440,3849,37.41,"2020-05-13"
11230,2106,5381,39.14,"2020-05-13"
11231,380,1148,33.1,"2020-05-13"
11232,458,1022,44.81,"2020-05-13"
11233,1154,2876,40.13,"2020-05-13"
11234,2102,5081,41.37,"2020-05-13"
11235,1870,4706,39.74,"2020-05-13"
11236,2484,5560,44.68,"2020-05-13"
11237,853,1944,43.88,"2020-05-13"
11238,693,1949,35.56,"2020-05-13"
11239,464,1123,41.32,"2020-05-13"
11354,1050,2524,41.6,"2020-05-13"
