"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,277,636,43.55,"2020-04-23"
10002,756,1498,50.47,"2020-04-23"
10003,363,908,39.98,"2020-04-23"
10004,26,71,36.62,"2020-04-23"
10005,45,144,31.25,"2020-04-23"
10006,15,61,24.59,"2020-04-23"
10007,42,151,27.81,"2020-04-23"
10009,547,1312,41.69,"2020-04-23"
10010,210,633,33.18,"2020-04-23"
10011,411,942,43.63,"2020-04-23"
10012,125,361,34.63,"2020-04-23"
10013,187,470,39.79,"2020-04-23"
10014,240,567,42.33,"2020-04-23"
10016,535,1374,38.94,"2020-04-23"
10017,113,352,32.1,"2020-04-23"
10018,175,423,41.37,"2020-04-23"
10019,458,1081,42.37,"2020-04-23"
10021,451,1244,36.25,"2020-04-23"
10022,260,732,35.52,"2020-04-23"
10023,449,1226,36.62,"2020-04-23"
10024,506,1347,37.56,"2020-04-23"
10025,930,2208,42.12,"2020-04-23"
10026,456,952,47.9,"2020-04-23"
10027,690,1387,49.75,"2020-04-23"
10028,383,1088,35.2,"2020-04-23"
10029,1270,2488,51.05,"2020-04-23"
10030,369,665,55.49,"2020-04-23"
10031,871,1447,60.19,"2020-04-23"
10032,1012,1749,57.86,"2020-04-23"
10033,865,1459,59.29,"2020-04-23"
10034,487,920,52.93,"2020-04-23"
10035,679,1226,55.38,"2020-04-23"
10036,320,730,43.84,"2020-04-23"
10037,308,586,52.56,"2020-04-23"
10038,178,392,45.41,"2020-04-23"
10039,354,697,50.79,"2020-04-23"
10040,673,1128,59.66,"2020-04-23"
10044,133,286,46.5,"2020-04-23"
10065,259,814,31.82,"2020-04-23"
10069,46,128,35.94,"2020-04-23"
10075,321,752,42.69,"2020-04-23"
10128,513,1444,35.53,"2020-04-23"
10280,33,116,28.45,"2020-04-23"
10282,59,125,47.2,"2020-04-23"
10301,879,1863,47.18,"2020-04-23"
10302,475,981,48.42,"2020-04-23"
10303,662,1376,48.11,"2020-04-23"
10304,1080,2261,47.77,"2020-04-23"
10305,944,2237,42.2,"2020-04-23"
10306,1164,2961,39.31,"2020-04-23"
10307,326,782,41.69,"2020-04-23"
10308,537,1399,38.38,"2020-04-23"
10309,713,1828,39,"2020-04-23"
10310,557,1314,42.39,"2020-04-23"
10312,1254,2938,42.68,"2020-04-23"
10314,2127,4867,43.7,"2020-04-23"
10451,1170,2097,55.79,"2020-04-23"
10452,1575,2704,58.25,"2020-04-23"
10453,1626,2854,56.97,"2020-04-23"
10454,784,1369,57.27,"2020-04-23"
10455,861,1538,55.98,"2020-04-23"
10456,1704,3032,56.2,"2020-04-23"
10457,1441,2542,56.69,"2020-04-23"
10458,1410,2675,52.71,"2020-04-23"
10459,1038,1831,56.69,"2020-04-23"
10460,1155,2120,54.48,"2020-04-23"
10461,1396,2869,48.66,"2020-04-23"
10462,1694,3363,50.37,"2020-04-23"
10463,1336,2900,46.07,"2020-04-23"
10464,109,292,37.33,"2020-04-23"
10465,1182,2675,44.19,"2020-04-23"
10466,1807,3358,53.81,"2020-04-23"
10467,2486,4521,54.99,"2020-04-23"
10468,1750,3006,58.22,"2020-04-23"
10469,2213,3946,56.08,"2020-04-23"
10470,352,712,49.44,"2020-04-23"
10471,440,1034,42.55,"2020-04-23"
10472,1339,2300,58.22,"2020-04-23"
10473,1442,2783,51.81,"2020-04-23"
10474,235,433,54.27,"2020-04-23"
10475,1338,2823,47.4,"2020-04-23"
11004,434,727,59.7,"2020-04-23"
11101,460,1024,44.92,"2020-04-23"
11102,436,840,51.9,"2020-04-23"
11103,389,805,48.32,"2020-04-23"
11104,345,677,50.96,"2020-04-23"
11105,370,872,42.43,"2020-04-23"
11106,456,968,47.11,"2020-04-23"
11109,41,136,30.15,"2020-04-23"
11201,472,1235,38.22,"2020-04-23"
11203,1464,2532,57.82,"2020-04-23"
11204,1445,2588,55.83,"2020-04-23"
11205,513,1040,49.33,"2020-04-23"
11206,1056,1936,54.55,"2020-04-23"
11207,1373,2523,54.42,"2020-04-23"
11208,1550,2646,58.58,"2020-04-23"
11209,829,1823,45.47,"2020-04-23"
11210,1266,2238,56.57,"2020-04-23"
11211,1475,2594,56.86,"2020-04-23"
11212,1190,2080,57.21,"2020-04-23"
11213,1040,1874,55.5,"2020-04-23"
11214,1103,2048,53.86,"2020-04-23"
11215,468,1169,40.03,"2020-04-23"
11216,522,1066,48.97,"2020-04-23"
11217,421,853,49.36,"2020-04-23"
11218,1244,2194,56.7,"2020-04-23"
11219,2087,3498,59.66,"2020-04-23"
11220,1077,1870,57.59,"2020-04-23"
11221,878,1635,53.7,"2020-04-23"
11222,330,716,46.09,"2020-04-23"
11223,1236,2341,52.8,"2020-04-23"
11224,748,1350,55.41,"2020-04-23"
11225,882,1560,56.54,"2020-04-23"
11226,1498,2579,58.08,"2020-04-23"
11228,487,972,50.1,"2020-04-23"
11229,1148,2206,52.04,"2020-04-23"
11230,1676,2971,56.41,"2020-04-23"
11231,319,676,47.19,"2020-04-23"
11232,365,587,62.18,"2020-04-23"
11233,884,1600,55.25,"2020-04-23"
11234,1756,3205,54.79,"2020-04-23"
11235,1413,2622,53.89,"2020-04-23"
11236,1990,3376,58.95,"2020-04-23"
11237,618,1024,60.35,"2020-04-23"
11238,571,1094,52.19,"2020-04-23"
11239,367,670,54.78,"2020-04-23"
11354,766,1351,56.7,"2020-04-23"
11355,866,1516,57.12,"2020-04-23"
11356,398,745,53.42,"2020-04-23"
11357,603,1198,50.33,"2020-04-23"
