"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,197,429,45.92,"2020-04-10"
10002,492,949,51.84,"2020-04-10"
10003,264,622,42.44,"2020-04-10"
10004,22,53,41.51,"2020-04-10"
10005,36,109,33.03,"2020-04-10"
10006,8,39,20.51,"2020-04-10"
10007,32,102,31.37,"2020-04-10"
10009,348,782,44.5,"2020-04-10"
10010,158,441,35.83,"2020-04-10"
10011,341,695,49.06,"2020-04-10"
10012,96,274,35.04,"2020-04-10"
10013,149,341,43.7,"2020-04-10"
10014,205,439,46.7,"2020-04-10"
10016,412,950,43.37,"2020-04-10"
10017,83,241,34.44,"2020-04-10"
10018,140,296,47.3,"2020-04-10"
10019,310,702,44.16,"2020-04-10"
10021,350,885,39.55,"2020-04-10"
10022,202,528,38.26,"2020-04-10"
10023,312,799,39.05,"2020-04-10"
10024,358,938,38.17,"2020-04-10"
10025,567,1316,43.09,"2020-04-10"
10026,274,548,50,"2020-04-10"
10027,419,817,51.29,"2020-04-10"
10028,297,749,39.65,"2020-04-10"
10029,749,1417,52.86,"2020-04-10"
10030,254,417,60.91,"2020-04-10"
10031,536,845,63.43,"2020-04-10"
10032,629,1052,59.79,"2020-04-10"
10033,558,915,60.98,"2020-04-10"
10034,297,543,54.7,"2020-04-10"
10035,393,724,54.28,"2020-04-10"
10036,212,457,46.39,"2020-04-10"
10037,216,380,56.84,"2020-04-10"
10038,135,278,48.56,"2020-04-10"
10039,233,432,53.94,"2020-04-10"
10040,434,693,62.63,"2020-04-10"
10044,82,183,44.81,"2020-04-10"
10065,207,593,34.91,"2020-04-10"
10069,34,87,39.08,"2020-04-10"
10075,252,541,46.58,"2020-04-10"
10128,374,948,39.45,"2020-04-10"
10280,27,79,34.18,"2020-04-10"
10282,41,82,50,"2020-04-10"
10301,524,999,52.45,"2020-04-10"
10302,268,522,51.34,"2020-04-10"
10303,412,736,55.98,"2020-04-10"
10304,702,1366,51.39,"2020-04-10"
10305,616,1345,45.8,"2020-04-10"
10306,788,1781,44.24,"2020-04-10"
10307,220,450,48.89,"2020-04-10"
10308,380,867,43.83,"2020-04-10"
10309,500,1117,44.76,"2020-04-10"
10310,341,721,47.3,"2020-04-10"
10312,918,1860,49.35,"2020-04-10"
10314,1356,2828,47.95,"2020-04-10"
10451,709,1192,59.48,"2020-04-10"
10452,973,1491,65.26,"2020-04-10"
10453,1042,1637,63.65,"2020-04-10"
10454,510,811,62.89,"2020-04-10"
10455,511,847,60.33,"2020-04-10"
10456,1038,1693,61.31,"2020-04-10"
10457,890,1415,62.9,"2020-04-10"
10458,888,1534,57.89,"2020-04-10"
10459,677,1099,61.6,"2020-04-10"
10460,711,1180,60.25,"2020-04-10"
10461,951,1750,54.34,"2020-04-10"
10462,1114,1979,56.29,"2020-04-10"
10463,769,1613,47.68,"2020-04-10"
10464,71,179,39.66,"2020-04-10"
10465,804,1627,49.42,"2020-04-10"
10466,1115,1868,59.69,"2020-04-10"
10467,1626,2669,60.92,"2020-04-10"
10468,1096,1668,65.71,"2020-04-10"
10469,1381,2226,62.04,"2020-04-10"
10470,233,425,54.82,"2020-04-10"
10471,278,622,44.69,"2020-04-10"
10472,836,1291,64.76,"2020-04-10"
10473,963,1652,58.29,"2020-04-10"
10474,158,245,64.49,"2020-04-10"
10475,813,1431,56.81,"2020-04-10"
11004,300,462,64.94,"2020-04-10"
11101,315,614,51.3,"2020-04-10"
11102,272,491,55.4,"2020-04-10"
11103,264,467,56.53,"2020-04-10"
11104,243,399,60.9,"2020-04-10"
11105,248,495,50.1,"2020-04-10"
11106,312,578,53.98,"2020-04-10"
11109,35,95,36.84,"2020-04-10"
11201,344,840,40.95,"2020-04-10"
11203,881,1345,65.5,"2020-04-10"
