"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,261,582,44.85,"2020-04-20"
10002,716,1384,51.73,"2020-04-20"
10003,351,840,41.79,"2020-04-20"
10004,25,65,38.46,"2020-04-20"
10005,44,137,32.12,"2020-04-20"
10006,14,55,25.45,"2020-04-20"
10007,41,134,30.6,"2020-04-20"
10009,522,1194,43.72,"2020-04-20"
10010,202,570,35.44,"2020-04-20"
10011,398,872,45.64,"2020-04-20"
10012,118,334,35.33,"2020-04-20"
10013,179,431,41.53,"2020-04-20"
10014,235,533,44.09,"2020-04-20"
10016,506,1208,41.89,"2020-04-20"
10017,108,316,34.18,"2020-04-20"
10018,168,377,44.56,"2020-04-20"
10019,443,1015,43.65,"2020-04-20"
10021,431,1152,37.41,"2020-04-20"
10022,251,680,36.91,"2020-04-20"
10023,434,1120,38.75,"2020-04-20"
10024,476,1255,37.93,"2020-04-20"
10025,888,2040,43.53,"2020-04-20"
10026,438,876,50,"2020-04-20"
10027,661,1266,52.21,"2020-04-20"
10028,375,1011,37.09,"2020-04-20"
10029,1180,2267,52.05,"2020-04-20"
10030,356,606,58.75,"2020-04-20"
10031,818,1307,62.59,"2020-04-20"
10032,944,1581,59.71,"2020-04-20"
10033,806,1312,61.43,"2020-04-20"
10034,445,823,54.07,"2020-04-20"
10035,651,1136,57.31,"2020-04-20"
10036,304,679,44.77,"2020-04-20"
10037,299,540,55.37,"2020-04-20"
10038,167,355,47.04,"2020-04-20"
10039,333,634,52.52,"2020-04-20"
10040,621,1003,61.91,"2020-04-20"
10044,122,262,46.56,"2020-04-20"
10065,244,741,32.93,"2020-04-20"
10069,44,115,38.26,"2020-04-20"
10075,305,680,44.85,"2020-04-20"
10128,491,1327,37,"2020-04-20"
10280,32,104,30.77,"2020-04-20"
10282,56,117,47.86,"2020-04-20"
10301,822,1656,49.64,"2020-04-20"
10302,437,881,49.6,"2020-04-20"
10303,619,1239,49.96,"2020-04-20"
10304,1014,2060,49.22,"2020-04-20"
10305,891,2054,43.38,"2020-04-20"
10306,1099,2709,40.57,"2020-04-20"
10307,307,706,43.48,"2020-04-20"
10308,507,1277,39.7,"2020-04-20"
10309,680,1681,40.45,"2020-04-20"
10310,520,1177,44.18,"2020-04-20"
10312,1211,2739,44.21,"2020-04-20"
10314,1978,4368,45.28,"2020-04-20"
10451,1079,1880,57.39,"2020-04-20"
10452,1443,2323,62.12,"2020-04-20"
10453,1499,2516,59.58,"2020-04-20"
10454,731,1233,59.29,"2020-04-20"
10455,806,1379,58.45,"2020-04-20"
10456,1548,2645,58.53,"2020-04-20"
10457,1315,2206,59.61,"2020-04-20"
10458,1302,2330,55.88,"2020-04-20"
10459,979,1647,59.44,"2020-04-20"
10460,1065,1843,57.79,"2020-04-20"
10461,1288,2528,50.95,"2020-04-20"
10462,1564,2935,53.29,"2020-04-20"
10463,1214,2549,47.63,"2020-04-20"
10464,96,255,37.65,"2020-04-20"
10465,1090,2379,45.82,"2020-04-20"
10466,1665,2948,56.48,"2020-04-20"
10467,2290,3983,57.49,"2020-04-20"
10468,1619,2619,61.82,"2020-04-20"
10469,2071,3542,58.47,"2020-04-20"
10470,329,647,50.85,"2020-04-20"
10471,393,906,43.38,"2020-04-20"
10472,1257,2048,61.38,"2020-04-20"
10473,1340,2427,55.21,"2020-04-20"
10474,227,391,58.06,"2020-04-20"
10475,1249,2466,50.65,"2020-04-20"
11004,403,669,60.24,"2020-04-20"
11101,429,904,47.46,"2020-04-20"
11102,387,730,53.01,"2020-04-20"
11103,367,715,51.33,"2020-04-20"
11104,321,600,53.5,"2020-04-20"
11105,348,758,45.91,"2020-04-20"
11106,421,851,49.47,"2020-04-20"
11109,41,125,32.8,"2020-04-20"
11201,450,1113,40.43,"2020-04-20"
11203,1349,2221,60.74,"2020-04-20"
11204,1338,2279,58.71,"2020-04-20"
11205,482,925,52.11,"2020-04-20"
11206,991,1741,56.92,"2020-04-20"
11207,1267,2240,56.56,"2020-04-20"
11208,1408,2297,61.3,"2020-04-20"
11209,783,1634,47.92,"2020-04-20"
11210,1183,1993,59.36,"2020-04-20"
11211,1410,2364,59.64,"2020-04-20"
11212,1102,1852,59.5,"2020-04-20"
11213,989,1702,58.11,"2020-04-20"
11214,1028,1873,54.89,"2020-04-20"
11215,437,1045,41.82,"2020-04-20"
11216,489,958,51.04,"2020-04-20"
11217,398,770,51.69,"2020-04-20"
11218,1173,2000,58.65,"2020-04-20"
11219,1973,3067,64.33,"2020-04-20"
11220,1006,1647,61.08,"2020-04-20"
11221,816,1449,56.31,"2020-04-20"
11222,310,657,47.18,"2020-04-20"
11223,1147,2095,54.75,"2020-04-20"
11224,673,1187,56.7,"2020-04-20"
11225,824,1406,58.61,"2020-04-20"
11226,1358,2252,60.3,"2020-04-20"
11228,457,853,53.58,"2020-04-20"
11229,1079,1970,54.77,"2020-04-20"
11230,1584,2679,59.13,"2020-04-20"
11231,291,613,47.47,"2020-04-20"
11232,342,525,65.14,"2020-04-20"
11233,824,1414,58.27,"2020-04-20"
11234,1626,2832,57.42,"2020-04-20"
11235,1315,2360,55.72,"2020-04-20"
11236,1859,2989,62.19,"2020-04-20"
11237,581,930,62.47,"2020-04-20"
11238,535,983,54.43,"2020-04-20"
11239,342,593,57.67,"2020-04-20"
11354,692,1157,59.81,"2020-04-20"
11355,799,1341,59.58,"2020-04-20"
11356,364,660,55.15,"2020-04-20"
11357,570,1079,52.83,"2020-04-20"
11358,383,765,50.07,"2020-04-20"
11360,212,483,43.89,"2020-04-20"
11361,308,625,49.28,"2020-04-20"
11362,204,463,44.06,"2020-04-20"
11363,76,177,42.94,"2020-04-20"
11364,336,691,48.63,"2020-04-20"
11365,569,1070,53.18,"2020-04-20"
11366,302,550,54.91,"2020-04-20"
11367,703,1318,53.34,"2020-04-20"
11368,2863,3849,74.38,"2020-04-20"
11369,1066,1516,70.32,"2020-04-20"
11370,1012,1700,59.53,"2020-04-20"
11372,1741,2538,68.6,"2020-04-20"
11373,2226,3347,66.51,"2020-04-20"
11374,807,1491,54.12,"2020-04-20"
11375,1147,2216,51.76,"2020-04-20"
11377,1419,2296,61.8,"2020-04-20"
11378,492,922,53.36,"2020-04-20"
11379,541,1081,50.05,"2020-04-20"
11385,1345,2447,54.97,"2020-04-20"
11411,492,801,61.42,"2020-04-20"
11412,871,1464,59.49,"2020-04-20"
11413,927,1571,59.01,"2020-04-20"
11414,595,1029,57.82,"2020-04-20"
11415,370,680,54.41,"2020-04-20"
11416,425,710,59.86,"2020-04-20"
11417,545,956,57.01,"2020-04-20"
11418,681,1140,59.74,"2020-04-20"
11419,732,1250,58.56,"2020-04-20"
11420,872,1487,58.64,"2020-04-20"
11421,781,1272,61.4,"2020-04-20"
11422,690,1218,56.65,"2020-04-20"
11423,665,1097,60.62,"2020-04-20"
11426,358,668,53.59,"2020-04-20"
11427,550,954,57.65,"2020-04-20"
11428,476,774,61.5,"2020-04-20"
11429,673,1027,65.53,"2020-04-20"
11432,1102,1805,61.05,"2020-04-20"
11433,629,1048,60.02,"2020-04-20"
11434,1381,2322,59.47,"2020-04-20"
11435,1029,1810,56.85,"2020-04-20"
11436,350,595,58.82,"2020-04-20"
11691,1525,2353,64.81,"2020-04-20"
11692,394,652,60.43,"2020-04-20"
11693,257,452,56.86,"2020-04-20"
11694,465,841,55.29,"2020-04-20"
11697,73,150,48.67,"2020-04-20"
