"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,357,2009,17.8,"2020-05-30"
10002,1026,4182,24.5,"2020-05-30"
10003,445,3041,14.6,"2020-05-30"
10004,31,204,15.2,"2020-05-30"
10005,61,477,12.8,"2020-05-30"
10006,24,207,11.6,"2020-05-30"
10007,54,510,10.6,"2020-05-30"
10009,684,3809,18,"2020-05-30"
10010,258,2258,11.4,"2020-05-30"
10011,515,3098,16.6,"2020-05-30"
10012,160,1145,14,"2020-05-30"
10013,256,1593,16.1,"2020-05-30"
10014,291,1911,15.2,"2020-05-30"
10016,670,4286,15.6,"2020-05-30"
10017,138,1065,13,"2020-05-30"
10018,202,1053,19.2,"2020-05-30"
10019,586,3256,18,"2020-05-30"
10021,549,3586,15.3,"2020-05-30"
10022,334,2332,14.3,"2020-05-30"
10023,553,3841,14.4,"2020-05-30"
10024,673,3934,17.1,"2020-05-30"
10025,1273,6522,19.5,"2020-05-30"
10026,629,2715,23.2,"2020-05-30"
10027,1003,4036,24.9,"2020-05-30"
10028,460,3059,15,"2020-05-30"
10029,1777,6311,28.2,"2020-05-30"
10030,488,1924,25.4,"2020-05-30"
10031,1280,4685,27.3,"2020-05-30"
10032,1469,5263,27.9,"2020-05-30"
10033,1304,4796,27.2,"2020-05-30"
10034,694,2906,23.9,"2020-05-30"
10035,928,3299,28.1,"2020-05-30"
10036,407,2147,19,"2020-05-30"
10037,529,2330,22.7,"2020-05-30"
10038,246,1271,19.4,"2020-05-30"
10039,505,1937,26.1,"2020-05-30"
10040,1085,3747,29,"2020-05-30"
10044,232,883,26.3,"2020-05-30"
10065,326,2401,13.6,"2020-05-30"
10069,54,374,14.4,"2020-05-30"
10075,415,2146,19.3,"2020-05-30"
10128,622,4155,15,"2020-05-30"
10280,50,411,12.2,"2020-05-30"
10282,70,313,22.4,"2020-05-30"
10301,1160,4016,28.9,"2020-05-30"
10302,628,1811,34.7,"2020-05-30"
10303,849,2655,32,"2020-05-30"
10304,1365,4442,30.7,"2020-05-30"
10305,1216,4175,29.1,"2020-05-30"
10306,1422,5428,26.2,"2020-05-30"
10307,372,1316,28.3,"2020-05-30"
10308,625,2454,25.5,"2020-05-30"
10309,828,3093,26.8,"2020-05-30"
10310,713,2588,27.6,"2020-05-30"
10312,1478,5458,27.1,"2020-05-30"
10314,2592,8839,29.3,"2020-05-30"
10451,1578,4902,32.2,"2020-05-30"
10452,2323,7193,32.3,"2020-05-30"
10453,2314,6930,33.4,"2020-05-30"
10454,1111,3697,30.1,"2020-05-30"
10455,1246,3799,32.8,"2020-05-30"
10456,2429,7931,30.6,"2020-05-30"
10457,2040,6637,30.7,"2020-05-30"
10458,1992,6378,31.2,"2020-05-30"
10459,1459,4224,34.5,"2020-05-30"
10460,1608,4875,33,"2020-05-30"
10461,1852,5985,30.9,"2020-05-30"
10462,2222,7325,30.3,"2020-05-30"
10463,1937,7054,27.5,"2020-05-30"
10464,118,498,23.7,"2020-05-30"
10465,1467,5223,28.1,"2020-05-30"
10466,2346,6904,34,"2020-05-30"
10467,3276,9682,33.8,"2020-05-30"
10468,2669,8162,32.7,"2020-05-30"
10469,2936,8622,34.1,"2020-05-30"
10470,443,1634,27.1,"2020-05-30"
10471,775,3348,23.1,"2020-05-30"
10472,1909,5313,35.9,"2020-05-30"
10473,1891,5875,32.2,"2020-05-30"
10474,318,941,33.8,"2020-05-30"
10475,1675,5278,31.7,"2020-05-30"
11004,569,2390,23.8,"2020-05-30"
11101,612,2871,21.3,"2020-05-30"
11102,596,2487,24,"2020-05-30"
11103,557,2451,22.7,"2020-05-30"
11104,486,1860,26.1,"2020-05-30"
11105,480,2463,19.5,"2020-05-30"
11106,630,2621,24,"2020-05-30"
11109,46,370,12.4,"2020-05-30"
11201,673,4458,15.1,"2020-05-30"
11203,2010,6208,32.4,"2020-05-30"
11204,1997,7778,25.7,"2020-05-30"
11205,712,3095,23,"2020-05-30"
11206,1571,6159,25.5,"2020-05-30"
11207,2027,6647,30.5,"2020-05-30"
11208,2332,7002,33.3,"2020-05-30"
11209,1108,4772,23.2,"2020-05-30"
11210,1646,5402,30.5,"2020-05-30"
11211,2048,9111,22.5,"2020-05-30"
11212,1815,6139,29.6,"2020-05-30"
11213,1359,4589,29.6,"2020-05-30"
11214,1496,5517,27.1,"2020-05-30"
11215,609,3463,17.6,"2020-05-30"
11216,713,3133,22.8,"2020-05-30"
11217,608,2550,23.8,"2020-05-30"
11218,1661,6098,27.2,"2020-05-30"
11219,2990,12882,23.2,"2020-05-30"
11220,1498,4999,30,"2020-05-30"
11221,1257,4715,26.7,"2020-05-30"
11222,435,2589,16.8,"2020-05-30"
11223,1675,5776,29,"2020-05-30"
11224,1119,3678,30.4,"2020-05-30"
11225,1128,3824,29.5,"2020-05-30"
11226,2203,7102,31,"2020-05-30"
11228,643,2452,26.2,"2020-05-30"
11229,1745,10244,17,"2020-05-30"
11230,2295,8461,27.1,"2020-05-30"
11231,419,2037,20.6,"2020-05-30"
11232,516,1634,31.6,"2020-05-30"
11233,1222,4078,30,"2020-05-30"
11234,2211,7123,31,"2020-05-30"
11235,1997,6816,29.3,"2020-05-30"
11236,2659,7940,33.5,"2020-05-30"
11237,940,3236,29,"2020-05-30"
11238,752,3223,23.3,"2020-05-30"
11239,501,1578,31.7,"2020-05-30"
11354,1146,3628,31.6,"2020-05-30"
11355,1243,3757,33.1,"2020-05-30"
11356,541,1730,31.3,"2020-05-30"
11357,796,2870,27.7,"2020-05-30"
11358,556,2196,25.3,"2020-05-30"
11360,308,1396,22.1,"2020-05-30"
11361,442,1847,23.9,"2020-05-30"
11362,304,1148,26.5,"2020-05-30"
11363,97,414,23.4,"2020-05-30"
11364,456,1901,24,"2020-05-30"
11365,820,2905,28.2,"2020-05-30"
11366,385,1167,33,"2020-05-30"
11367,1010,3419,29.5,"2020-05-30"
11368,4421,11159,39.6,"2020-05-30"
11369,1561,4043,38.6,"2020-05-30"
11370,1305,3535,36.9,"2020-05-30"
11372,2455,6537,37.6,"2020-05-30"
11373,3168,8949,35.4,"2020-05-30"
11374,1057,3669,28.8,"2020-05-30"
11375,1481,5204,28.5,"2020-05-30"
11377,2167,7152,30.3,"2020-05-30"
11378,719,2716,26.5,"2020-05-30"
11379,788,2800,28.1,"2020-05-30"
11385,2108,6805,31,"2020-05-30"
11411,674,1888,35.7,"2020-05-30"
11412,1216,3515,34.6,"2020-05-30"
11413,1287,3664,35.1,"2020-05-30"
11414,793,2228,35.6,"2020-05-30"
11415,525,1756,29.9,"2020-05-30"
11416,694,1971,35.2,"2020-05-30"
11417,875,2700,32.4,"2020-05-30"
11418,1065,3130,34,"2020-05-30"
11419,1160,3480,33.3,"2020-05-30"
11420,1334,3870,34.5,"2020-05-30"
11421,1168,3419,34.2,"2020-05-30"
11422,961,2895,33.2,"2020-05-30"
11423,1054,3022,34.9,"2020-05-30"
11426,492,1499,32.8,"2020-05-30"
11427,766,2337,32.8,"2020-05-30"
11428,662,1763,37.5,"2020-05-30"
11429,922,2654,34.7,"2020-05-30"
11432,1750,4952,35.3,"2020-05-30"
11433,921,2759,33.4,"2020-05-30"
11434,2032,6215,32.7,"2020-05-30"
11435,1595,5109,31.2,"2020-05-30"
11436,512,1574,32.5,"2020-05-30"
11691,2257,6737,33.5,"2020-05-30"
11692,584,1813,32.2,"2020-05-30"
11693,322,990,32.5,"2020-05-30"
11694,694,2285,30.4,"2020-05-30"
11697,107,994,10.8,"2020-05-30"
