"MODZCTA","Total","Positive","zcta_cum.perc_pos","date"
11426,965,492,50.98,"2020-04-26"
11427,1349,770,57.08,"2020-04-26"
11428,1098,652,59.38,"2020-04-26"
11429,1472,897,60.94,"2020-04-26"
11432,2671,1529,57.24,"2020-04-26"
11433,1550,852,54.97,"2020-04-26"
11434,3285,1843,56.1,"2020-04-26"
11435,2718,1459,53.68,"2020-04-26"
11436,875,480,54.86,"2020-04-26"
11691,3360,2023,60.21,"2020-04-26"
11692,924,523,56.6,"2020-04-26"
11693,615,316,51.38,"2020-04-26"
11694,1243,636,51.17,"2020-04-26"
11697,215,97,45.12,"2020-04-26"
