"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,260,571,45.53,"2020-04-19"
10002,712,1358,52.43,"2020-04-19"
10003,347,830,41.81,"2020-04-19"
10004,24,64,37.5,"2020-04-19"
10005,44,137,32.12,"2020-04-19"
10006,14,54,25.93,"2020-04-19"
10007,40,130,30.77,"2020-04-19"
10009,518,1180,43.9,"2020-04-19"
10010,201,561,35.83,"2020-04-19"
10011,394,852,46.24,"2020-04-19"
10012,116,330,35.15,"2020-04-19"
10013,179,426,42.02,"2020-04-19"
10014,233,529,44.05,"2020-04-19"
10016,502,1197,41.94,"2020-04-19"
10017,107,310,34.52,"2020-04-19"
10018,168,375,44.8,"2020-04-19"
10019,441,999,44.14,"2020-04-19"
10021,431,1148,37.54,"2020-04-19"
10022,250,668,37.43,"2020-04-19"
10023,433,1105,39.19,"2020-04-19"
10024,472,1235,38.22,"2020-04-19"
10025,875,2000,43.75,"2020-04-19"
10026,428,856,50,"2020-04-19"
10027,654,1244,52.57,"2020-04-19"
10028,371,1003,36.99,"2020-04-19"
10029,1162,2222,52.3,"2020-04-19"
10030,351,590,59.49,"2020-04-19"
10031,807,1282,62.95,"2020-04-19"
10032,937,1556,60.22,"2020-04-19"
10033,801,1298,61.71,"2020-04-19"
10034,439,797,55.08,"2020-04-19"
10035,636,1111,57.25,"2020-04-19"
10036,301,656,45.88,"2020-04-19"
10037,297,533,55.72,"2020-04-19"
10038,166,352,47.16,"2020-04-19"
10039,328,615,53.33,"2020-04-19"
10040,614,988,62.15,"2020-04-19"
10044,118,255,46.27,"2020-04-19"
10065,244,735,33.2,"2020-04-19"
10069,44,114,38.6,"2020-04-19"
10075,302,667,45.28,"2020-04-19"
10128,489,1312,37.27,"2020-04-19"
10280,32,103,31.07,"2020-04-19"
10282,56,114,49.12,"2020-04-19"
10301,806,1588,50.76,"2020-04-19"
10302,428,845,50.65,"2020-04-19"
10303,613,1198,51.17,"2020-04-19"
10304,1001,2003,49.98,"2020-04-19"
10305,883,2001,44.13,"2020-04-19"
10306,1087,2625,41.41,"2020-04-19"
10307,305,686,44.46,"2020-04-19"
10308,504,1242,40.58,"2020-04-19"
10309,672,1626,41.33,"2020-04-19"
10310,506,1136,44.54,"2020-04-19"
10312,1204,2694,44.69,"2020-04-19"
10314,1955,4238,46.13,"2020-04-19"
10451,1059,1826,58,"2020-04-19"
10452,1412,2244,62.92,"2020-04-19"
10453,1474,2435,60.53,"2020-04-19"
10454,719,1185,60.68,"2020-04-19"
10455,795,1337,59.46,"2020-04-19"
10456,1518,2557,59.37,"2020-04-19"
10457,1286,2126,60.49,"2020-04-19"
10458,1269,2244,56.55,"2020-04-19"
10459,956,1586,60.28,"2020-04-19"
10460,1041,1788,58.22,"2020-04-19"
10461,1266,2447,51.74,"2020-04-19"
10462,1529,2839,53.86,"2020-04-19"
10463,1168,2451,47.65,"2020-04-19"
10464,95,247,38.46,"2020-04-19"
10465,1078,2312,46.63,"2020-04-19"
10466,1650,2860,57.69,"2020-04-19"
10467,2245,3851,58.3,"2020-04-19"
10468,1591,2530,62.89,"2020-04-19"
10469,2042,3422,59.67,"2020-04-19"
10470,321,617,52.03,"2020-04-19"
10471,388,881,44.04,"2020-04-19"
10472,1239,1977,62.67,"2020-04-19"
10473,1331,2367,56.23,"2020-04-19"
10474,223,380,58.68,"2020-04-19"
10475,1225,2348,52.17,"2020-04-19"
11004,397,653,60.8,"2020-04-19"
11101,423,881,48.01,"2020-04-19"
11102,379,698,54.3,"2020-04-19"
11103,362,701,51.64,"2020-04-19"
11104,316,588,53.74,"2020-04-19"
11105,344,732,46.99,"2020-04-19"
11106,417,830,50.24,"2020-04-19"
11109,41,125,32.8,"2020-04-19"
11201,447,1101,40.6,"2020-04-19"
11203,1329,2138,62.16,"2020-04-19"
11204,1325,2234,59.31,"2020-04-19"
11205,475,910,52.2,"2020-04-19"
11206,975,1704,57.22,"2020-04-19"
11207,1233,2136,57.72,"2020-04-19"
11208,1383,2216,62.41,"2020-04-19"
11209,772,1590,48.55,"2020-04-19"
11210,1162,1931,60.18,"2020-04-19"
11211,1399,2332,59.99,"2020-04-19"
11212,1086,1793,60.57,"2020-04-19"
11213,972,1653,58.8,"2020-04-19"
11214,1016,1825,55.67,"2020-04-19"
11215,432,1021,42.31,"2020-04-19"
11216,484,929,52.1,"2020-04-19"
11217,397,762,52.1,"2020-04-19"
11218,1163,1967,59.13,"2020-04-19"
11219,1961,3018,64.98,"2020-04-19"
11220,997,1615,61.73,"2020-04-19"
11221,801,1410,56.81,"2020-04-19"
11222,306,643,47.59,"2020-04-19"
11223,1134,2049,55.34,"2020-04-19"
11224,657,1147,57.28,"2020-04-19"
11225,814,1359,59.9,"2020-04-19"
11226,1336,2170,61.57,"2020-04-19"
11228,449,826,54.36,"2020-04-19"
11229,1064,1912,55.65,"2020-04-19"
11230,1573,2615,60.15,"2020-04-19"
11231,289,604,47.85,"2020-04-19"
11232,337,514,65.56,"2020-04-19"
11233,802,1361,58.93,"2020-04-19"
11234,1602,2755,58.15,"2020-04-19"
11235,1293,2304,56.12,"2020-04-19"
11236,1828,2903,62.97,"2020-04-19"
11237,567,892,63.57,"2020-04-19"
11238,529,968,54.65,"2020-04-19"
11239,339,578,58.65,"2020-04-19"
11354,675,1111,60.76,"2020-04-19"
11355,777,1286,60.42,"2020-04-19"
11356,358,641,55.85,"2020-04-19"
11357,560,1051,53.28,"2020-04-19"
11358,377,743,50.74,"2020-04-19"
11360,209,468,44.66,"2020-04-19"
11361,305,603,50.58,"2020-04-19"
11362,202,448,45.09,"2020-04-19"
11363,76,175,43.43,"2020-04-19"
11364,330,668,49.4,"2020-04-19"
11365,562,1043,53.88,"2020-04-19"
11366,298,538,55.39,"2020-04-19"
11367,694,1279,54.26,"2020-04-19"
11368,2817,3755,75.02,"2020-04-19"
11369,1055,1483,71.14,"2020-04-19"
