"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,341,1552,21.97,"2020-05-22"
10002,989,3164,31.26,"2020-05-22"
10003,434,2220,19.55,"2020-05-22"
10004,30,153,19.61,"2020-05-22"
10005,59,372,15.86,"2020-05-22"
10006,23,158,14.56,"2020-05-22"
10007,49,348,14.08,"2020-05-22"
10009,659,2823,23.34,"2020-05-22"
10010,253,1703,14.86,"2020-05-22"
10011,497,2306,21.55,"2020-05-22"
10012,155,856,18.11,"2020-05-22"
10013,251,1239,20.26,"2020-05-22"
10014,283,1334,21.21,"2020-05-22"
10016,643,3382,19.01,"2020-05-22"
10017,134,850,15.76,"2020-05-22"
10018,200,819,24.42,"2020-05-22"
10019,565,2465,22.92,"2020-05-22"
10021,531,2730,19.45,"2020-05-22"
10022,327,1742,18.77,"2020-05-22"
10023,535,2869,18.65,"2020-05-22"
10024,621,2913,21.32,"2020-05-22"
10025,1197,4987,24,"2020-05-22"
10026,618,2225,27.78,"2020-05-22"
10027,974,3332,29.23,"2020-05-22"
10028,452,2426,18.63,"2020-05-22"
10029,1713,5082,33.71,"2020-05-22"
10030,476,1572,30.28,"2020-05-22"
10031,1229,3648,33.69,"2020-05-22"
10032,1403,4251,33,"2020-05-22"
10033,1259,3883,32.42,"2020-05-22"
10034,678,2463,27.53,"2020-05-22"
10035,914,2826,32.34,"2020-05-22"
10036,395,1663,23.75,"2020-05-22"
10037,512,1996,25.65,"2020-05-22"
10038,234,984,23.78,"2020-05-22"
10039,487,1629,29.9,"2020-05-22"
10040,1063,3177,33.46,"2020-05-22"
10044,228,736,30.98,"2020-05-22"
10065,320,1835,17.44,"2020-05-22"
10069,54,279,19.35,"2020-05-22"
10075,365,1558,23.43,"2020-05-22"
10128,605,3287,18.41,"2020-05-22"
10280,44,302,14.57,"2020-05-22"
10282,68,257,26.46,"2020-05-22"
10301,1109,3238,34.25,"2020-05-22"
10302,614,1592,38.57,"2020-05-22"
10303,819,2270,36.08,"2020-05-22"
10304,1335,3865,34.54,"2020-05-22"
10305,1187,3680,32.26,"2020-05-22"
