"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,313,976,32.07,"2020-05-07"
10002,905,2219,40.78,"2020-05-07"
10003,407,1347,30.22,"2020-05-07"
10004,28,93,30.11,"2020-05-07"
10005,54,227,23.79,"2020-05-07"
10006,21,99,21.21,"2020-05-07"
10007,48,215,22.33,"2020-05-07"
10009,616,1900,32.42,"2020-05-07"
10010,239,1038,23.03,"2020-05-07"
10011,473,1422,33.26,"2020-05-07"
10012,149,531,28.06,"2020-05-07"
10013,225,760,29.61,"2020-05-07"
10014,272,834,32.61,"2020-05-07"
10016,615,2153,28.56,"2020-05-07"
10017,128,526,24.33,"2020-05-07"
10018,194,578,33.56,"2020-05-07"
10019,532,1637,32.5,"2020-05-07"
10021,498,1815,27.44,"2020-05-07"
10022,305,1142,26.71,"2020-05-07"
10023,506,1821,27.79,"2020-05-07"
10024,582,1968,29.57,"2020-05-07"
10025,1111,3371,32.96,"2020-05-07"
10026,578,1563,36.98,"2020-05-07"
10027,878,2305,38.09,"2020-05-07"
10028,436,1577,27.65,"2020-05-07"
10029,1591,3726,42.7,"2020-05-07"
10030,436,1117,39.03,"2020-05-07"
10031,1107,2413,45.88,"2020-05-07"
10032,1288,2886,44.63,"2020-05-07"
10033,1154,2549,45.27,"2020-05-07"
10034,610,1601,38.1,"2020-05-07"
10035,830,1911,43.43,"2020-05-07"
10036,367,1125,32.62,"2020-05-07"
10037,380,967,39.3,"2020-05-07"
10038,225,632,35.6,"2020-05-07"
10039,449,1171,38.34,"2020-05-07"
10040,907,2167,41.86,"2020-05-07"
10044,189,446,42.38,"2020-05-07"
10065,294,1198,24.54,"2020-05-07"
10069,46,177,25.99,"2020-05-07"
10075,346,1116,31,"2020-05-07"
10128,567,2191,25.88,"2020-05-07"
10280,38,190,20,"2020-05-07"
10282,64,184,34.78,"2020-05-07"
10301,1043,2594,40.21,"2020-05-07"
10302,579,1333,43.44,"2020-05-07"
10303,772,1867,41.35,"2020-05-07"
10304,1274,3122,40.81,"2020-05-07"
10305,1115,3015,36.98,"2020-05-07"
10306,1331,3876,34.34,"2020-05-07"
10307,359,1028,34.92,"2020-05-07"
10308,592,1805,32.8,"2020-05-07"
10309,789,2300,34.3,"2020-05-07"
10310,675,1791,37.69,"2020-05-07"
10312,1398,3931,35.56,"2020-05-07"
10314,2455,6487,37.84,"2020-05-07"
10451,1451,3260,44.51,"2020-05-07"
10452,2045,4555,44.9,"2020-05-07"
10453,2048,4561,44.9,"2020-05-07"
10454,1000,2378,42.05,"2020-05-07"
10455,1120,2490,44.98,"2020-05-07"
10456,2200,5116,43,"2020-05-07"
10457,1830,4202,43.55,"2020-05-07"
10458,1800,4182,43.04,"2020-05-07"
10459,1335,2841,46.99,"2020-05-07"
10460,1456,3257,44.7,"2020-05-07"
10461,1732,4232,40.93,"2020-05-07"
10462,2036,4848,42,"2020-05-07"
10463,1697,4282,39.63,"2020-05-07"
10464,114,376,30.32,"2020-05-07"
10465,1386,3739,37.07,"2020-05-07"
10466,2130,4694,45.38,"2020-05-07"
10467,2992,6490,46.1,"2020-05-07"
10468,2202,4498,48.96,"2020-05-07"
10469,2630,5548,47.4,"2020-05-07"
10470,405,1001,40.46,"2020-05-07"
10471,543,1432,37.92,"2020-05-07"
10472,1728,3518,49.12,"2020-05-07"
10473,1740,4026,43.22,"2020-05-07"
10474,293,668,43.86,"2020-05-07"
