"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,136,304,44.74,"2020-04-03"
10002,317,651,48.69,"2020-04-03"
10003,191,438,43.61,"2020-04-03"
10004,19,42,45.24,"2020-04-03"
10005,28,94,29.79,"2020-04-03"
10006,7,26,26.92,"2020-04-03"
10007,28,75,37.33,"2020-04-03"
10009,236,548,43.07,"2020-04-03"
10010,118,336,35.12,"2020-04-03"
10011,255,549,46.45,"2020-04-03"
10012,77,209,36.84,"2020-04-03"
10013,120,265,45.28,"2020-04-03"
10014,163,347,46.97,"2020-04-03"
10016,295,661,44.63,"2020-04-03"
10017,59,173,34.1,"2020-04-03"
10018,97,211,45.97,"2020-04-03"
10019,226,520,43.46,"2020-04-03"
10021,258,672,38.39,"2020-04-03"
10022,148,400,37,"2020-04-03"
10023,231,583,39.62,"2020-04-03"
10024,255,731,34.88,"2020-04-03"
10025,327,892,36.66,"2020-04-03"
10026,166,363,45.73,"2020-04-03"
10027,224,504,44.44,"2020-04-03"
10028,220,550,40,"2020-04-03"
10029,373,807,46.22,"2020-04-03"
10030,135,247,54.66,"2020-04-03"
10031,288,498,57.83,"2020-04-03"
10032,389,670,58.06,"2020-04-03"
10033,342,593,57.67,"2020-04-03"
10034,152,325,46.77,"2020-04-03"
10035,216,452,47.79,"2020-04-03"
10036,150,331,45.32,"2020-04-03"
10037,101,206,49.03,"2020-04-03"
10038,93,198,46.97,"2020-04-03"
10039,141,271,52.03,"2020-04-03"
10040,256,431,59.4,"2020-04-03"
10044,59,135,43.7,"2020-04-03"
10065,158,460,34.35,"2020-04-03"
10069,29,69,42.03,"2020-04-03"
10075,188,417,45.08,"2020-04-03"
10128,267,690,38.7,"2020-04-03"
10280,19,58,32.76,"2020-04-03"
10282,28,53,52.83,"2020-04-03"
10301,235,423,55.56,"2020-04-03"
10302,94,187,50.27,"2020-04-03"
10303,144,292,49.32,"2020-04-03"
10304,376,667,56.37,"2020-04-03"
10305,258,561,45.99,"2020-04-03"
10306,351,765,45.88,"2020-04-03"
10307,93,186,50,"2020-04-03"
10308,184,407,45.21,"2020-04-03"
10309,215,453,47.46,"2020-04-03"
10310,129,269,47.96,"2020-04-03"
10312,418,802,52.12,"2020-04-03"
10314,619,1218,50.82,"2020-04-03"
10451,336,623,53.93,"2020-04-03"
10452,509,824,61.77,"2020-04-03"
10453,527,845,62.37,"2020-04-03"
10454,245,441,55.56,"2020-04-03"
10455,233,432,53.94,"2020-04-03"
10456,500,886,56.43,"2020-04-03"
10457,427,743,57.47,"2020-04-03"
10458,453,800,56.62,"2020-04-03"
10459,309,534,57.87,"2020-04-03"
10460,344,622,55.31,"2020-04-03"
10461,444,846,52.48,"2020-04-03"
10462,544,1015,53.6,"2020-04-03"
10463,327,780,41.92,"2020-04-03"
10464,30,72,41.67,"2020-04-03"
10465,389,805,48.32,"2020-04-03"
10466,510,889,57.37,"2020-04-03"
10467,836,1446,57.81,"2020-04-03"
10468,529,796,66.46,"2020-04-03"
10469,683,1119,61.04,"2020-04-03"
10470,108,202,53.47,"2020-04-03"
10471,130,343,37.9,"2020-04-03"
10472,417,680,61.32,"2020-04-03"
10473,437,760,57.5,"2020-04-03"
10474,71,120,59.17,"2020-04-03"
10475,360,607,59.31,"2020-04-03"
11429,274,393,69.72,"2020-04-03"
11004,173,277,62.45,"2020-04-03"
11101,201,417,48.2,"2020-04-03"
11102,153,296,51.69,"2020-04-03"
11103,140,264,53.03,"2020-04-03"
11104,136,234,58.12,"2020-04-03"
11105,136,301,45.18,"2020-04-03"
11106,182,354,51.41,"2020-04-03"
11109,23,68,33.82,"2020-04-03"
11201,236,546,43.22,"2020-04-03"
11203,466,737,63.23,"2020-04-03"
11204,712,1171,60.8,"2020-04-03"
11205,242,412,58.74,"2020-04-03"
11206,411,716,57.4,"2020-04-03"
11207,479,798,60.03,"2020-04-03"
11208,520,794,65.49,"2020-04-03"
11209,292,606,48.18,"2020-04-03"
11210,524,859,61,"2020-04-03"
11211,788,1225,64.33,"2020-04-03"
11212,395,632,62.5,"2020-04-03"
11213,498,772,64.51,"2020-04-03"
11214,347,691,50.22,"2020-04-03"
11215,203,493,41.18,"2020-04-03"
11216,210,396,53.03,"2020-04-03"
11217,161,321,50.16,"2020-04-03"
11218,499,856,58.29,"2020-04-03"
11219,1037,1487,69.74,"2020-04-03"
11220,402,654,61.47,"2020-04-03"
11221,335,566,59.19,"2020-04-03"
11222,131,291,45.02,"2020-04-03"
11223,474,858,55.24,"2020-04-03"
11224,195,392,49.74,"2020-04-03"
11225,353,539,65.49,"2020-04-03"
11226,485,786,61.7,"2020-04-03"
11228,158,300,52.67,"2020-04-03"
11229,423,812,52.09,"2020-04-03"
11230,848,1334,63.57,"2020-04-03"
11231,154,317,48.58,"2020-04-03"
11232,141,222,63.51,"2020-04-03"
11233,302,493,61.26,"2020-04-03"
11234,531,937,56.67,"2020-04-03"
11235,421,841,50.06,"2020-04-03"
11236,618,979,63.13,"2020-04-03"
11237,235,352,66.76,"2020-04-03"
11238,253,465,54.41,"2020-04-03"
11239,128,187,68.45,"2020-04-03"
11357,230,429,53.61,"2020-04-03"
11355,308,496,62.1,"2020-04-03"
11354,205,368,55.71,"2020-04-03"
11356,151,288,52.43,"2020-04-03"
11358,158,320,49.38,"2020-04-03"
11360,86,197,43.65,"2020-04-03"
11361,118,229,51.53,"2020-04-03"
11362,88,193,45.6,"2020-04-03"
11363,33,77,42.86,"2020-04-03"
11364,149,277,53.79,"2020-04-03"
11365,229,418,54.78,"2020-04-03"
11366,152,248,61.29,"2020-04-03"
11367,403,631,63.87,"2020-04-03"
11368,1245,1605,77.57,"2020-04-03"
11369,464,623,74.48,"2020-04-03"
11370,510,932,54.72,"2020-04-03"
11372,697,963,72.38,"2020-04-03"
11373,841,1229,68.43,"2020-04-03"
11374,419,686,61.08,"2020-04-03"
11375,559,1048,53.34,"2020-04-03"
11377,515,831,61.97,"2020-04-03"
11378,198,353,56.09,"2020-04-03"
11379,252,456,55.26,"2020-04-03"
11385,606,1021,59.35,"2020-04-03"
11411,213,303,70.3,"2020-04-03"
11412,348,554,62.82,"2020-04-03"
11413,393,618,63.59,"2020-04-03"
11414,220,401,54.86,"2020-04-03"
11415,185,313,59.11,"2020-04-03"
11416,161,248,64.92,"2020-04-03"
11417,230,381,60.37,"2020-04-03"
11418,293,474,61.81,"2020-04-03"
11419,261,450,58,"2020-04-03"
11420,339,565,60,"2020-04-03"
11421,280,452,61.95,"2020-04-03"
11422,303,470,64.47,"2020-04-03"
11423,248,382,64.92,"2020-04-03"
11426,141,267,52.81,"2020-04-03"
11427,233,400,58.25,"2020-04-03"
11428,167,252,66.27,"2020-04-03"
11434,536,803,66.75,"2020-04-03"
