"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,238,502,47.41,"2020-04-15"
10002,645,1203,53.62,"2020-04-15"
10003,323,759,42.56,"2020-04-15"
10004,23,60,38.33,"2020-04-15"
10005,41,126,32.54,"2020-04-15"
10006,12,49,24.49,"2020-04-15"
10007,35,115,30.43,"2020-04-15"
10009,470,1041,45.15,"2020-04-15"
10010,188,506,37.15,"2020-04-15"
10011,375,787,47.65,"2020-04-15"
10012,109,307,35.5,"2020-04-15"
10013,167,385,43.38,"2020-04-15"
10014,223,485,45.98,"2020-04-15"
10016,470,1082,43.44,"2020-04-15"
10017,98,280,35,"2020-04-15"
10018,159,343,46.36,"2020-04-15"
10019,411,908,45.26,"2020-04-15"
10021,405,1033,39.21,"2020-04-15"
10022,236,608,38.82,"2020-04-15"
10023,406,989,41.05,"2020-04-15"
10024,436,1122,38.86,"2020-04-15"
10025,790,1761,44.86,"2020-04-15"
10026,391,750,52.13,"2020-04-15"
10027,599,1100,54.45,"2020-04-15"
10028,343,891,38.5,"2020-04-15"
10029,1037,1923,53.93,"2020-04-15"
10030,313,510,61.37,"2020-04-15"
10031,726,1116,65.05,"2020-04-15"
10032,820,1332,61.56,"2020-04-15"
10033,700,1119,62.56,"2020-04-15"
10034,383,676,56.66,"2020-04-15"
10035,555,967,57.39,"2020-04-15"
10036,270,579,46.63,"2020-04-15"
10037,267,456,58.55,"2020-04-15"
10038,160,321,49.84,"2020-04-15"
10039,298,537,55.49,"2020-04-15"
10040,555,864,64.24,"2020-04-15"
10044,100,216,46.3,"2020-04-15"
10065,230,667,34.48,"2020-04-15"
10069,38,100,38,"2020-04-15"
10075,287,604,47.52,"2020-04-15"
10128,453,1167,38.82,"2020-04-15"
10280,31,88,35.23,"2020-04-15"
10282,51,106,48.11,"2020-04-15"
10301,678,1256,53.98,"2020-04-15"
10302,360,680,52.94,"2020-04-15"
10303,533,959,55.58,"2020-04-15"
10304,851,1653,51.48,"2020-04-15"
10305,753,1619,46.51,"2020-04-15"
10306,954,2144,44.5,"2020-04-15"
10307,257,555,46.31,"2020-04-15"
10308,459,1074,42.74,"2020-04-15"
10309,617,1386,44.52,"2020-04-15"
10310,425,899,47.27,"2020-04-15"
10312,1082,2276,47.54,"2020-04-15"
10314,1717,3546,48.42,"2020-04-15"
10451,887,1467,60.46,"2020-04-15"
10452,1195,1826,65.44,"2020-04-15"
10453,1261,2013,62.64,"2020-04-15"
10454,616,971,63.44,"2020-04-15"
10455,652,1035,63,"2020-04-15"
10456,1295,2097,61.75,"2020-04-15"
10457,1092,1749,62.44,"2020-04-15"
10458,1083,1856,58.35,"2020-04-15"
10459,824,1326,62.14,"2020-04-15"
10460,875,1464,59.77,"2020-04-15"
10461,1107,2058,53.79,"2020-04-15"
10462,1308,2347,55.73,"2020-04-15"
10463,1021,2056,49.66,"2020-04-15"
10464,80,206,38.83,"2020-04-15"
10465,941,1944,48.41,"2020-04-15"
10466,1393,2339,59.56,"2020-04-15"
10467,1972,3222,61.2,"2020-04-15"
10468,1381,2083,66.3,"2020-04-15"
10469,1724,2772,62.19,"2020-04-15"
10470,284,518,54.83,"2020-04-15"
10471,326,735,44.35,"2020-04-15"
10472,1035,1606,64.45,"2020-04-15"
10473,1170,1982,59.03,"2020-04-15"
10474,187,292,64.04,"2020-04-15"
10475,1042,1859,56.05,"2020-04-15"
11004,353,558,63.26,"2020-04-15"
11101,374,735,50.88,"2020-04-15"
11102,336,596,56.38,"2020-04-15"
11103,321,577,55.63,"2020-04-15"
11104,285,478,59.62,"2020-04-15"
11105,309,614,50.33,"2020-04-15"
11106,366,690,53.04,"2020-04-15"
11109,40,112,35.71,"2020-04-15"
11201,402,980,41.02,"2020-04-15"
11203,1148,1743,65.86,"2020-04-15"
11204,1185,1918,61.78,"2020-04-15"
11205,423,783,54.02,"2020-04-15"
11206,837,1438,58.21,"2020-04-15"
