"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,314,912,34.43,"2020-05-05"
10002,890,2122,41.94,"2020-05-05"
10003,402,1277,31.48,"2020-05-05"
10004,28,90,31.11,"2020-05-05"
10005,54,220,24.55,"2020-05-05"
10006,21,95,22.11,"2020-05-05"
10007,48,209,22.97,"2020-05-05"
10009,613,1803,34,"2020-05-05"
10010,237,953,24.87,"2020-05-05"
10011,469,1348,34.79,"2020-05-05"
10012,147,506,29.05,"2020-05-05"
10013,220,708,31.07,"2020-05-05"
10014,269,783,34.36,"2020-05-05"
10016,610,2006,30.41,"2020-05-05"
10017,125,498,25.1,"2020-05-05"
10018,193,565,34.16,"2020-05-05"
10019,527,1562,33.74,"2020-05-05"
10021,495,1708,28.98,"2020-05-05"
10022,299,1082,27.63,"2020-05-05"
10023,496,1708,29.04,"2020-05-05"
10024,576,1874,30.74,"2020-05-05"
10025,1101,3191,34.5,"2020-05-05"
10026,564,1482,38.06,"2020-05-05"
10027,854,2149,39.74,"2020-05-05"
10028,429,1488,28.83,"2020-05-05"
10029,1559,3562,43.77,"2020-05-05"
10030,428,1027,41.67,"2020-05-05"
10031,1082,2279,47.48,"2020-05-05"
10032,1255,2700,46.48,"2020-05-05"
10033,1130,2407,46.95,"2020-05-05"
10034,600,1457,41.18,"2020-05-05"
10035,805,1789,45,"2020-05-05"
10036,363,1058,34.31,"2020-05-05"
10037,371,902,41.13,"2020-05-05"
10038,221,588,37.59,"2020-05-05"
10039,439,1089,40.31,"2020-05-05"
10040,865,1843,46.93,"2020-05-05"
10044,183,424,43.16,"2020-05-05"
10065,289,1125,25.69,"2020-05-05"
10069,46,169,27.22,"2020-05-05"
10075,342,1053,32.48,"2020-05-05"
10128,558,2040,27.35,"2020-05-05"
10280,38,178,21.35,"2020-05-05"
10282,64,177,36.16,"2020-05-05"
10301,1020,2501,40.78,"2020-05-05"
10302,567,1279,44.33,"2020-05-05"
10303,762,1807,42.17,"2020-05-05"
10304,1248,2973,41.98,"2020-05-05"
10305,1104,2906,37.99,"2020-05-05"
10306,1316,3757,35.03,"2020-05-05"
10307,354,1005,35.22,"2020-05-05"
10308,587,1756,33.43,"2020-05-05"
10309,783,2254,34.74,"2020-05-05"
10310,663,1721,38.52,"2020-05-05"
10312,1389,3818,36.38,"2020-05-05"
10314,2436,6329,38.49,"2020-05-05"
10451,1429,3063,46.65,"2020-05-05"
10452,2016,4323,46.63,"2020-05-05"
10453,2012,4329,46.48,"2020-05-05"
10454,982,2197,44.7,"2020-05-05"
10455,1098,2340,46.92,"2020-05-05"
10456,2162,4842,44.65,"2020-05-05"
10457,1805,4017,44.93,"2020-05-05"
10458,1759,3943,44.61,"2020-05-05"
10459,1315,2719,48.36,"2020-05-05"
10460,1425,3100,45.97,"2020-05-05"
10461,1708,4019,42.5,"2020-05-05"
10462,2010,4681,42.94,"2020-05-05"
10463,1645,4050,40.62,"2020-05-05"
10464,114,363,31.4,"2020-05-05"
10465,1365,3606,37.85,"2020-05-05"
10466,2108,4511,46.73,"2020-05-05"
10467,2952,6235,47.35,"2020-05-05"
10468,2153,4313,49.92,"2020-05-05"
10469,2600,5379,48.34,"2020-05-05"
10470,398,955,41.68,"2020-05-05"
10471,535,1385,38.63,"2020-05-05"
10472,1694,3365,50.34,"2020-05-05"
10473,1709,3859,44.29,"2020-05-05"
10474,286,645,44.34,"2020-05-05"
10475,1545,3807,40.58,"2020-05-05"
11004,515,943,54.61,"2020-05-05"
11101,542,1450,37.38,"2020-05-05"
11102,528,1235,42.75,"2020-05-05"
11103,465,1169,39.78,"2020-05-05"
11104,418,1006,41.55,"2020-05-05"
11105,433,1247,34.72,"2020-05-05"
11106,560,1383,40.49,"2020-05-05"
11109,46,191,24.08,"2020-05-05"
11201,544,1756,30.98,"2020-05-05"
11203,1771,3732,47.45,"2020-05-05"
11204,1705,3826,44.56,"2020-05-05"
11205,613,1738,35.27,"2020-05-05"
11206,1315,3096,42.47,"2020-05-05"
11207,1745,3876,45.02,"2020-05-05"
11208,1953,3945,49.51,"2020-05-05"
11209,985,2658,37.06,"2020-05-05"
11210,1466,3177,46.14,"2020-05-05"
11211,1769,4235,41.77,"2020-05-05"
11212,1534,3413,44.95,"2020-05-05"
11213,1215,2650,45.85,"2020-05-05"
11214,1316,2949,44.63,"2020-05-05"
11215,536,1688,31.75,"2020-05-05"
11216,617,1599,38.59,"2020-05-05"
11217,494,1190,41.51,"2020-05-05"
11218,1476,3185,46.34,"2020-05-05"
11219,2443,5615,43.51,"2020-05-05"
11220,1287,2691,47.83,"2020-05-05"
11221,1080,2465,43.81,"2020-05-05"
11222,384,1006,38.17,"2020-05-05"
11223,1459,3349,43.57,"2020-05-05"
11224,960,2132,45.03,"2020-05-05"
11225,1016,2257,45.02,"2020-05-05"
11226,1894,3987,47.5,"2020-05-05"
11228,571,1390,41.08,"2020-05-05"
11229,1341,3204,41.85,"2020-05-05"
11230,1980,4379,45.22,"2020-05-05"
11231,364,931,39.1,"2020-05-05"
11232,429,818,52.44,"2020-05-05"
11233,1102,2420,45.54,"2020-05-05"
11234,2020,4387,46.05,"2020-05-05"
11235,1743,3800,45.87,"2020-05-05"
11236,2337,4731,49.4,"2020-05-05"
11237,805,1595,50.47,"2020-05-05"
11238,657,1582,41.53,"2020-05-05"
11239,439,969,45.3,"2020-05-05"
11354,951,1973,48.2,"2020-05-05"
11355,1084,2227,48.68,"2020-05-05"
11356,482,1070,45.05,"2020-05-05"
11357,710,1666,42.62,"2020-05-05"
11358,500,1250,40,"2020-05-05"
11360,288,796,36.18,"2020-05-05"
11361,394,983,40.08,"2020-05-05"
11362,275,706,38.95,"2020-05-05"
11363,90,250,36,"2020-05-05"
11364,422,1127,37.44,"2020-05-05"
11365,741,1729,42.86,"2020-05-05"
11366,354,793,44.64,"2020-05-05"
11367,903,2129,42.41,"2020-05-05"
11368,3774,6304,59.87,"2020-05-05"
11369,1376,2486,55.35,"2020-05-05"
11370,1225,2409,50.85,"2020-05-05"
11372,2179,3912,55.7,"2020-05-05"
11373,2836,5328,53.23,"2020-05-05"
11374,945,2241,42.17,"2020-05-05"
11375,1379,3265,42.24,"2020-05-05"
11377,1867,3959,47.16,"2020-05-05"
11378,651,1512,43.06,"2020-05-05"
11379,709,1679,42.23,"2020-05-05"
11385,1849,4004,46.18,"2020-05-05"
11411,612,1215,50.37,"2020-05-05"
11412,1134,2249,50.42,"2020-05-05"
11413,1168,2402,48.63,"2020-05-05"
11414,732,1521,48.13,"2020-05-05"
11415,460,1029,44.7,"2020-05-05"
11416,608,1185,51.31,"2020-05-05"
11417,779,1602,48.63,"2020-05-05"
11418,932,2010,46.37,"2020-05-05"
11419,1014,2070,48.99,"2020-05-05"
11420,1196,2500,47.84,"2020-05-05"
11421,1037,2123,48.85,"2020-05-05"
11422,869,1849,47,"2020-05-05"
11423,894,1781,50.2,"2020-05-05"
11426,455,987,46.1,"2020-05-05"
11427,690,1415,48.76,"2020-05-05"
11428,606,1145,52.93,"2020-05-05"
11429,838,1558,53.79,"2020-05-05"
11432,1533,3034,50.53,"2020-05-05"
11433,826,1729,47.77,"2020-05-05"
11434,1739,3573,48.67,"2020-05-05"
11435,1404,2984,47.05,"2020-05-05"
11436,464,1000,46.4,"2020-05-05"
11691,1950,3715,52.49,"2020-05-05"
11692,523,1068,48.97,"2020-05-05"
11693,295,635,46.46,"2020-05-05"
11694,623,1351,46.11,"2020-05-05"
11697,85,207,41.06,"2020-05-05"
