"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,211,448,47.1,"2020-04-12"
10002,539,1024,52.64,"2020-04-12"
10003,279,662,42.15,"2020-04-12"
10004,23,59,38.98,"2020-04-12"
10005,38,116,32.76,"2020-04-12"
10006,10,43,23.26,"2020-04-12"
10007,34,107,31.78,"2020-04-12"
10009,381,851,44.77,"2020-04-12"
10010,166,468,35.47,"2020-04-12"
10011,355,731,48.56,"2020-04-12"
10012,98,285,34.39,"2020-04-12"
10013,161,362,44.48,"2020-04-12"
10014,212,457,46.39,"2020-04-12"
10016,435,992,43.85,"2020-04-12"
10017,90,260,34.62,"2020-04-12"
10018,156,331,47.13,"2020-04-12"
10019,334,753,44.36,"2020-04-12"
10021,386,967,39.92,"2020-04-12"
10022,219,562,38.97,"2020-04-12"
10023,341,857,39.79,"2020-04-12"
10024,380,994,38.23,"2020-04-12"
10025,626,1439,43.5,"2020-04-12"
10026,308,605,50.91,"2020-04-12"
10027,476,910,52.31,"2020-04-12"
10028,317,802,39.53,"2020-04-12"
10029,824,1538,53.58,"2020-04-12"
10030,277,448,61.83,"2020-04-12"
10031,611,935,65.35,"2020-04-12"
10032,728,1190,61.18,"2020-04-12"
10033,626,1011,61.92,"2020-04-12"
10034,345,607,56.84,"2020-04-12"
10035,440,796,55.28,"2020-04-12"
10036,232,494,46.96,"2020-04-12"
10037,232,405,57.28,"2020-04-12"
10038,151,300,50.33,"2020-04-12"
10039,266,478,55.65,"2020-04-12"
10040,498,786,63.36,"2020-04-12"
10044,90,198,45.45,"2020-04-12"
10065,216,627,34.45,"2020-04-12"
10069,35,93,37.63,"2020-04-12"
10075,262,564,46.45,"2020-04-12"
10128,396,1006,39.36,"2020-04-12"
10280,27,81,33.33,"2020-04-12"
10282,44,90,48.89,"2020-04-12"
10301,593,1133,52.34,"2020-04-12"
10302,318,612,51.96,"2020-04-12"
10303,486,866,56.12,"2020-04-12"
10304,788,1529,51.54,"2020-04-12"
10305,700,1504,46.54,"2020-04-12"
10306,886,1989,44.54,"2020-04-12"
10307,246,510,48.24,"2020-04-12"
10308,430,984,43.7,"2020-04-12"
10309,561,1264,44.38,"2020-04-12"
10310,383,815,46.99,"2020-04-12"
10312,1008,2071,48.67,"2020-04-12"
10314,1569,3231,48.56,"2020-04-12"
10451,788,1314,59.97,"2020-04-12"
10452,1068,1640,65.12,"2020-04-12"
10453,1146,1811,63.28,"2020-04-12"
10454,550,872,63.07,"2020-04-12"
10455,562,919,61.15,"2020-04-12"
10456,1130,1840,61.41,"2020-04-12"
10457,969,1551,62.48,"2020-04-12"
10458,968,1662,58.24,"2020-04-12"
10459,746,1201,62.11,"2020-04-12"
10460,771,1288,59.86,"2020-04-12"
10461,1018,1878,54.21,"2020-04-12"
10462,1201,2158,55.65,"2020-04-12"
10463,885,1810,48.9,"2020-04-12"
10464,75,194,38.66,"2020-04-12"
10465,865,1762,49.09,"2020-04-12"
10466,1259,2112,59.61,"2020-04-12"
10467,1769,2911,60.77,"2020-04-12"
10468,1224,1849,66.2,"2020-04-12"
10469,1514,2448,61.85,"2020-04-12"
10470,258,472,54.66,"2020-04-12"
10471,302,669,45.14,"2020-04-12"
10472,918,1408,65.2,"2020-04-12"
10473,1053,1795,58.66,"2020-04-12"
10474,170,266,63.91,"2020-04-12"
10475,912,1623,56.19,"2020-04-12"
11004,324,505,64.16,"2020-04-12"
11101,344,672,51.19,"2020-04-12"
11102,306,534,57.3,"2020-04-12"
11103,296,524,56.49,"2020-04-12"
11104,264,429,61.54,"2020-04-12"
11105,279,550,50.73,"2020-04-12"
11106,342,629,54.37,"2020-04-12"
