"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,358,2083,17.2,"2020-06-02"
10002,1034,4374,23.6,"2020-06-02"
10003,446,3153,14.1,"2020-06-02"
10004,31,214,14.5,"2020-06-02"
10005,61,491,12.4,"2020-06-02"
10006,24,216,11.1,"2020-06-02"
10007,54,522,10.3,"2020-06-02"
10009,685,3952,17.3,"2020-06-02"
10010,261,2349,11.1,"2020-06-02"
10011,515,3229,15.9,"2020-06-02"
10012,160,1188,13.5,"2020-06-02"
10013,257,1664,15.4,"2020-06-02"
10014,294,2002,14.7,"2020-06-02"
10016,673,4430,15.2,"2020-06-02"
10017,141,1116,12.6,"2020-06-02"
10018,203,1087,18.7,"2020-06-02"
10019,591,3404,17.4,"2020-06-02"
10021,551,3719,14.8,"2020-06-02"
10022,335,2416,13.9,"2020-06-02"
10023,554,3973,13.9,"2020-06-02"
10024,676,4096,16.5,"2020-06-02"
10025,1293,6989,18.5,"2020-06-02"
10026,629,2820,22.3,"2020-06-02"
10027,1011,4211,24,"2020-06-02"
10028,462,3188,14.5,"2020-06-02"
10029,1785,6583,27.1,"2020-06-02"
10030,491,1996,24.6,"2020-06-02"
10031,1289,4868,26.5,"2020-06-02"
10032,1484,5528,26.8,"2020-06-02"
10033,1310,4990,26.3,"2020-06-02"
10034,697,3041,22.9,"2020-06-02"
10035,933,3444,27.1,"2020-06-02"
10036,409,2250,18.2,"2020-06-02"
10037,533,2455,21.7,"2020-06-02"
10038,246,1316,18.7,"2020-06-02"
10039,506,2000,25.3,"2020-06-02"
10040,1092,3894,28,"2020-06-02"
10044,233,916,25.4,"2020-06-02"
10065,326,2479,13.2,"2020-06-02"
10069,54,387,14,"2020-06-02"
10075,418,2241,18.7,"2020-06-02"
10128,626,4320,14.5,"2020-06-02"
10280,50,428,11.7,"2020-06-02"
10282,70,318,22,"2020-06-02"
10301,1164,4169,27.9,"2020-06-02"
10302,631,1858,34,"2020-06-02"
10303,853,2730,31.2,"2020-06-02"
10304,1371,4566,30,"2020-06-02"
