"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,327,1265,25.85,"2020-05-15"
10002,951,2703,35.18,"2020-05-15"
10003,424,1765,24.02,"2020-05-15"
10004,28,116,24.14,"2020-05-15"
10005,56,305,18.36,"2020-05-15"
10006,22,118,18.64,"2020-05-15"
10007,50,283,17.67,"2020-05-15"
10009,646,2340,27.61,"2020-05-15"
10010,249,1319,18.88,"2020-05-15"
10011,486,1833,26.51,"2020-05-15"
10012,154,661,23.3,"2020-05-15"
10013,240,997,24.07,"2020-05-15"
10014,276,1054,26.19,"2020-05-15"
10016,633,2727,23.21,"2020-05-15"
10017,130,675,19.26,"2020-05-15"
10018,199,679,29.31,"2020-05-15"
10019,552,2009,27.48,"2020-05-15"
10021,521,2293,22.72,"2020-05-15"
10022,323,1419,22.76,"2020-05-15"
10023,521,2315,22.51,"2020-05-15"
10024,605,2435,24.85,"2020-05-15"
10025,1151,4120,27.94,"2020-05-15"
10026,601,1916,31.37,"2020-05-15"
10027,939,2861,32.82,"2020-05-15"
10028,447,1974,22.64,"2020-05-15"
10029,1663,4397,37.82,"2020-05-15"
10030,454,1367,33.21,"2020-05-15"
10031,1197,3119,38.38,"2020-05-15"
10032,1362,3578,38.07,"2020-05-15"
10033,1216,3215,37.82,"2020-05-15"
10034,643,2102,30.59,"2020-05-15"
10035,880,2344,37.54,"2020-05-15"
10036,385,1374,28.02,"2020-05-15"
10037,502,1817,27.63,"2020-05-15"
10038,230,802,28.68,"2020-05-15"
10039,465,1421,32.72,"2020-05-15"
10040,1030,2820,36.52,"2020-05-15"
10044,211,582,36.25,"2020-05-15"
10065,311,1501,20.72,"2020-05-15"
10069,50,219,22.83,"2020-05-15"
10075,357,1332,26.8,"2020-05-15"
10128,598,2695,22.19,"2020-05-15"
10280,41,235,17.45,"2020-05-15"
10282,64,215,29.77,"2020-05-15"
10301,1080,2939,36.75,"2020-05-15"
10302,603,1480,40.74,"2020-05-15"
10303,805,2074,38.81,"2020-05-15"
10304,1308,3552,36.82,"2020-05-15"
10305,1158,3380,34.26,"2020-05-15"
10306,1382,4394,31.45,"2020-05-15"
10307,361,1127,32.03,"2020-05-15"
10308,609,2020,30.15,"2020-05-15"
10309,804,2549,31.54,"2020-05-15"
10310,691,2015,34.29,"2020-05-15"
10312,1430,4443,32.19,"2020-05-15"
10314,2521,7174,35.14,"2020-05-15"
10451,1502,3787,39.66,"2020-05-15"
10452,2164,5358,40.39,"2020-05-15"
10453,2191,5314,41.23,"2020-05-15"
10454,1055,2933,35.97,"2020-05-15"
10455,1176,2930,40.14,"2020-05-15"
10456,2307,6074,37.98,"2020-05-15"
10457,1921,4919,39.05,"2020-05-15"
10458,1887,4869,38.76,"2020-05-15"
10459,1392,3298,42.21,"2020-05-15"
10460,1531,3788,40.42,"2020-05-15"
10461,1789,4867,36.76,"2020-05-15"
10462,2132,5636,37.83,"2020-05-15"
10463,1772,5004,35.41,"2020-05-15"
10464,115,425,27.06,"2020-05-15"
10465,1428,4263,33.5,"2020-05-15"
10466,2210,5306,41.65,"2020-05-15"
10467,3118,7459,41.8,"2020-05-15"
10468,2464,5846,42.15,"2020-05-15"
10469,2799,6582,42.53,"2020-05-15"
10470,425,1273,33.39,"2020-05-15"
10471,698,2428,28.75,"2020-05-15"
10472,1805,4083,44.21,"2020-05-15"
10473,1800,4570,39.39,"2020-05-15"
10474,305,759,40.18,"2020-05-15"
10475,1621,4355,37.22,"2020-05-15"
11004,535,1076,49.72,"2020-05-15"
11101,575,1903,30.22,"2020-05-15"
11102,563,1622,34.71,"2020-05-15"
11103,511,1539,33.2,"2020-05-15"
11104,451,1295,34.83,"2020-05-15"
11105,459,1572,29.2,"2020-05-15"
11106,597,1765,33.82,"2020-05-15"
11109,46,255,18.04,"2020-05-15"
11201,632,2579,24.51,"2020-05-15"
11203,1908,4575,41.7,"2020-05-15"
11204,1865,5426,34.37,"2020-05-15"
11205,671,2272,29.53,"2020-05-15"
11206,1444,4220,34.22,"2020-05-15"
11207,1912,5021,38.08,"2020-05-15"
11208,2147,5150,41.69,"2020-05-15"
11209,1061,3385,31.34,"2020-05-15"
11210,1555,3916,39.71,"2020-05-15"
11211,1929,5971,32.31,"2020-05-15"
11212,1670,4438,37.63,"2020-05-15"
11213,1273,3255,39.11,"2020-05-15"
11214,1410,3685,38.26,"2020-05-15"
11215,575,2229,25.8,"2020-05-15"
11216,673,2161,31.14,"2020-05-15"
11217,549,1636,33.56,"2020-05-15"
11218,1587,4186,37.91,"2020-05-15"
11219,2740,8946,30.63,"2020-05-15"
11220,1406,3575,39.33,"2020-05-15"
11221,1173,3226,36.36,"2020-05-15"
11222,408,1405,29.04,"2020-05-15"
11223,1590,4318,36.82,"2020-05-15"
11224,1058,2778,38.08,"2020-05-15"
11225,1083,2839,38.15,"2020-05-15"
11226,2047,4996,40.97,"2020-05-15"
11228,598,1712,34.93,"2020-05-15"
11229,1457,4069,35.81,"2020-05-15"
11230,2143,5764,37.18,"2020-05-15"
11231,387,1266,30.57,"2020-05-15"
11232,472,1111,42.48,"2020-05-15"
11233,1167,3096,37.69,"2020-05-15"
11234,2123,5322,39.89,"2020-05-15"
11235,1895,4966,38.16,"2020-05-15"
11236,2517,5825,43.21,"2020-05-15"
11237,868,2118,40.98,"2020-05-15"
11238,709,2076,34.15,"2020-05-15"
11239,475,1184,40.12,"2020-05-15"
11354,1093,2705,40.41,"2020-05-15"
11355,1165,2786,41.82,"2020-05-15"
11356,517,1309,39.5,"2020-05-15"
11357,766,2107,36.36,"2020-05-15"
11358,525,1533,34.25,"2020-05-15"
11360,296,982,30.14,"2020-05-15"
11361,420,1246,33.71,"2020-05-15"
11362,293,855,34.27,"2020-05-15"
11363,96,300,32,"2020-05-15"
11364,444,1378,32.22,"2020-05-15"
11365,775,2101,36.89,"2020-05-15"
11366,361,916,39.41,"2020-05-15"
11367,962,2613,36.82,"2020-05-15"
11368,4152,8166,50.84,"2020-05-15"
11369,1468,3047,48.18,"2020-05-15"
11370,1264,2809,45,"2020-05-15"
11372,2345,4882,48.03,"2020-05-15"
11373,3019,6587,45.83,"2020-05-15"
11374,1005,2745,36.61,"2020-05-15"
11375,1434,3988,35.96,"2020-05-15"
11377,2031,5134,39.56,"2020-05-15"
11378,695,1920,36.2,"2020-05-15"
11379,762,2106,36.18,"2020-05-15"
11385,2001,5104,39.2,"2020-05-15"
11411,644,1435,44.88,"2020-05-15"
11412,1173,2708,43.32,"2020-05-15"
11413,1229,2872,42.79,"2020-05-15"
11414,771,1824,42.27,"2020-05-15"
11415,498,1299,38.34,"2020-05-15"
11416,657,1450,45.31,"2020-05-15"
11417,831,2012,41.3,"2020-05-15"
11418,1005,2470,40.69,"2020-05-15"
11419,1089,2547,42.76,"2020-05-15"
11420,1273,3028,42.04,"2020-05-15"
11421,1112,2633,42.23,"2020-05-15"
11422,918,2184,42.03,"2020-05-15"
11423,1008,2329,43.28,"2020-05-15"
11426,481,1168,41.18,"2020-05-15"
11427,731,1740,42.01,"2020-05-15"
11428,633,1368,46.27,"2020-05-15"
11429,881,1865,47.24,"2020-05-15"
11432,1658,3754,44.17,"2020-05-15"
11433,872,2071,42.11,"2020-05-15"
11434,1901,4618,41.17,"2020-05-15"
11435,1511,3659,41.3,"2020-05-15"
11436,492,1215,40.49,"2020-05-15"
11691,2087,4586,45.51,"2020-05-15"
11692,550,1294,42.5,"2020-05-15"
11693,304,745,40.81,"2020-05-15"
11694,656,1652,39.71,"2020-05-15"
11697,86,304,28.29,"2020-05-15"
