"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,266,600,44.33,"2020-04-21"
10002,729,1419,51.37,"2020-04-21"
10003,355,857,41.42,"2020-04-21"
10004,26,66,39.39,"2020-04-21"
10005,44,140,31.43,"2020-04-21"
10006,15,58,25.86,"2020-04-21"
10007,42,142,29.58,"2020-04-21"
10009,530,1230,43.09,"2020-04-21"
10010,203,591,34.35,"2020-04-21"
10011,403,892,45.18,"2020-04-21"
10012,121,345,35.07,"2020-04-21"
10013,180,439,41,"2020-04-21"
10014,236,543,43.46,"2020-04-21"
10016,515,1258,40.94,"2020-04-21"
10017,109,327,33.33,"2020-04-21"
10018,169,384,44.01,"2020-04-21"
10019,449,1032,43.51,"2020-04-21"
10021,438,1179,37.15,"2020-04-21"
10022,254,698,36.39,"2020-04-21"
10023,439,1152,38.11,"2020-04-21"
10024,484,1284,37.69,"2020-04-21"
10025,901,2088,43.15,"2020-04-21"
10026,443,899,49.28,"2020-04-21"
10027,667,1290,51.71,"2020-04-21"
10028,379,1035,36.62,"2020-04-21"
10029,1202,2340,51.37,"2020-04-21"
10030,360,623,57.78,"2020-04-21"
10031,841,1351,62.25,"2020-04-21"
10032,968,1636,59.17,"2020-04-21"
10033,817,1348,60.61,"2020-04-21"
10034,458,851,53.82,"2020-04-21"
10035,664,1167,56.9,"2020-04-21"
10036,309,694,44.52,"2020-04-21"
10037,304,559,54.38,"2020-04-21"
10038,171,363,47.11,"2020-04-21"
10039,339,650,52.15,"2020-04-21"
10040,644,1051,61.27,"2020-04-21"
10044,124,266,46.62,"2020-04-21"
10065,252,764,32.98,"2020-04-21"
10069,45,119,37.82,"2020-04-21"
10075,309,706,43.77,"2020-04-21"
10128,501,1367,36.65,"2020-04-21"
10280,33,108,30.56,"2020-04-21"
10282,58,119,48.74,"2020-04-21"
10301,848,1736,48.85,"2020-04-21"
10302,450,919,48.97,"2020-04-21"
10303,638,1292,49.38,"2020-04-21"
10304,1035,2128,48.64,"2020-04-21"
10305,914,2128,42.95,"2020-04-21"
10306,1124,2807,40.04,"2020-04-21"
10307,311,734,42.37,"2020-04-21"
10308,519,1325,39.17,"2020-04-21"
10309,688,1734,39.68,"2020-04-21"
10310,534,1232,43.34,"2020-04-21"
10312,1224,2820,43.4,"2020-04-21"
10314,2030,4551,44.61,"2020-04-21"
10451,1108,1938,57.17,"2020-04-21"
10452,1488,2440,60.98,"2020-04-21"
10453,1547,2622,59,"2020-04-21"
10454,747,1272,58.73,"2020-04-21"
10455,831,1435,57.91,"2020-04-21"
10456,1596,2738,58.29,"2020-04-21"
10457,1362,2319,58.73,"2020-04-21"
10458,1342,2430,55.23,"2020-04-21"
10459,996,1701,58.55,"2020-04-21"
10460,1097,1933,56.75,"2020-04-21"
10461,1328,2649,50.13,"2020-04-21"
10462,1611,3100,51.97,"2020-04-21"
10463,1261,2674,47.16,"2020-04-21"
10464,103,269,38.29,"2020-04-21"
10465,1128,2503,45.07,"2020-04-21"
10466,1727,3103,55.66,"2020-04-21"
10467,2372,4184,56.69,"2020-04-21"
10468,1666,2756,60.45,"2020-04-21"
10469,2131,3684,57.84,"2020-04-21"
10470,336,664,50.6,"2020-04-21"
10471,414,949,43.62,"2020-04-21"
10472,1287,2127,60.51,"2020-04-21"
10473,1371,2536,54.06,"2020-04-21"
10474,230,400,57.5,"2020-04-21"
10475,1285,2588,49.65,"2020-04-21"
11004,415,689,60.23,"2020-04-21"
11101,440,936,47.01,"2020-04-21"
11102,405,760,53.29,"2020-04-21"
11103,377,741,50.88,"2020-04-21"
11104,330,626,52.72,"2020-04-21"
11105,357,793,45.02,"2020-04-21"
11106,431,883,48.81,"2020-04-21"
11109,41,129,31.78,"2020-04-21"
11201,460,1149,40.03,"2020-04-21"
11203,1385,2314,59.85,"2020-04-21"
11204,1358,2335,58.16,"2020-04-21"
11205,490,943,51.96,"2020-04-21"
11206,1013,1792,56.53,"2020-04-21"
11207,1306,2328,56.1,"2020-04-21"
11208,1463,2398,61.01,"2020-04-21"
11209,800,1699,47.09,"2020-04-21"
11210,1219,2085,58.47,"2020-04-21"
11211,1422,2414,58.91,"2020-04-21"
11212,1134,1927,58.85,"2020-04-21"
11213,1010,1756,57.52,"2020-04-21"
11214,1050,1922,54.63,"2020-04-21"
11215,453,1091,41.52,"2020-04-21"
11216,500,988,50.61,"2020-04-21"
11217,411,807,50.93,"2020-04-21"
11218,1192,2046,58.26,"2020-04-21"
11219,1988,3111,63.9,"2020-04-21"
11220,1025,1713,59.84,"2020-04-21"
11221,832,1501,55.43,"2020-04-21"
11222,316,671,47.09,"2020-04-21"
11223,1171,2166,54.06,"2020-04-21"
11224,695,1248,55.69,"2020-04-21"
11225,843,1451,58.1,"2020-04-21"
11226,1413,2363,59.8,"2020-04-21"
11228,470,896,52.46,"2020-04-21"
11229,1110,2054,54.04,"2020-04-21"
11230,1620,2764,58.61,"2020-04-21"
11231,303,638,47.49,"2020-04-21"
11232,351,544,64.52,"2020-04-21"
11233,844,1476,57.18,"2020-04-21"
11234,1670,2935,56.9,"2020-04-21"
11235,1343,2429,55.29,"2020-04-21"
11236,1899,3106,61.14,"2020-04-21"
11237,590,954,61.84,"2020-04-21"
11238,547,1018,53.73,"2020-04-21"
11239,354,622,56.91,"2020-04-21"
11354,714,1211,58.96,"2020-04-21"
11355,822,1391,59.09,"2020-04-21"
11356,376,683,55.05,"2020-04-21"
11357,580,1105,52.49,"2020-04-21"
11358,395,791,49.94,"2020-04-21"
11360,215,502,42.83,"2020-04-21"
11361,317,646,49.07,"2020-04-21"
11362,220,490,44.9,"2020-04-21"
11363,76,182,41.76,"2020-04-21"
11364,343,722,47.51,"2020-04-21"
11365,585,1118,52.33,"2020-04-21"
11366,306,566,54.06,"2020-04-21"
11367,712,1375,51.78,"2020-04-21"
11368,2919,3967,73.58,"2020-04-21"
11369,1081,1548,69.83,"2020-04-21"
11370,1037,1748,59.32,"2020-04-21"
11372,1764,2591,68.08,"2020-04-21"
11373,2269,3426,66.23,"2020-04-21"
11374,817,1526,53.54,"2020-04-21"
11375,1170,2285,51.2,"2020-04-21"
11377,1448,2375,60.97,"2020-04-21"
11378,509,955,53.3,"2020-04-21"
11379,558,1119,49.87,"2020-04-21"
11385,1396,2557,54.6,"2020-04-21"
11411,503,826,60.9,"2020-04-21"
11412,900,1517,59.33,"2020-04-21"
11413,954,1628,58.6,"2020-04-21"
11414,618,1068,57.87,"2020-04-21"
11415,377,700,53.86,"2020-04-21"
11416,438,742,59.03,"2020-04-21"
11417,573,996,57.53,"2020-04-21"
11418,702,1202,58.4,"2020-04-21"
11419,753,1296,58.1,"2020-04-21"
11420,914,1568,58.29,"2020-04-21"
11421,804,1334,60.27,"2020-04-21"
11422,707,1258,56.2,"2020-04-21"
11423,688,1144,60.14,"2020-04-21"
11426,366,690,53.04,"2020-04-21"
11427,566,988,57.29,"2020-04-21"
11428,489,802,60.97,"2020-04-21"
11429,690,1062,64.97,"2020-04-21"
11432,1133,1888,60.01,"2020-04-21"
11433,643,1091,58.94,"2020-04-21"
11434,1415,2404,58.86,"2020-04-21"
11435,1057,1877,56.31,"2020-04-21"
11436,357,617,57.86,"2020-04-21"
11691,1543,2418,63.81,"2020-04-21"
11692,399,670,59.55,"2020-04-21"
11693,262,461,56.83,"2020-04-21"
11694,475,872,54.47,"2020-04-21"
11697,73,152,48.03,"2020-04-21"
