"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,352,1877,18.8,"2020-05-29"
10002,1016,3875,26.2,"2020-05-29"
10003,441,2806,15.7,"2020-05-29"
10004,31,188,16.5,"2020-05-29"
10005,60,441,13.6,"2020-05-29"
10006,24,190,12.6,"2020-05-29"
10007,49,431,11.4,"2020-05-29"
10009,678,3521,19.3,"2020-05-29"
10010,258,2091,12.3,"2020-05-29"
10011,511,2869,17.8,"2020-05-29"
10012,158,1062,14.9,"2020-05-29"
10013,255,1485,17.2,"2020-05-29"
10014,290,1767,16.4,"2020-05-29"
10016,660,4035,16.4,"2020-05-29"
10017,136,993,13.7,"2020-05-29"
10018,201,1007,20,"2020-05-29"
10019,583,3049,19.1,"2020-05-29"
10021,547,3367,16.2,"2020-05-29"
10022,329,2160,15.2,"2020-05-29"
10023,549,3602,15.2,"2020-05-29"
10024,661,3645,18.1,"2020-05-29"
10025,1259,6046,20.8,"2020-05-29"
10026,627,2573,24.4,"2020-05-29"
10027,996,3836,26,"2020-05-29"
10028,458,2834,16.2,"2020-05-29"
10029,1761,5956,29.6,"2020-05-29"
10030,485,1834,26.4,"2020-05-29"
10031,1269,4354,29.1,"2020-05-29"
10032,1463,5016,29.2,"2020-05-29"
10033,1302,4504,28.9,"2020-05-29"
10034,691,2773,24.9,"2020-05-29"
10035,925,3178,29.1,"2020-05-29"
10036,406,2040,19.9,"2020-05-29"
10037,530,2253,23.5,"2020-05-29"
10038,244,1168,20.9,"2020-05-29"
10039,502,1859,27,"2020-05-29"
10040,1079,3600,30,"2020-05-29"
10044,232,848,27.4,"2020-05-29"
10065,324,2230,14.5,"2020-05-29"
10069,54,350,15.4,"2020-05-29"
10075,414,2060,20.1,"2020-05-29"
10128,619,3906,15.8,"2020-05-29"
10280,50,373,13.4,"2020-05-29"
10282,70,296,23.6,"2020-05-29"
10301,1152,3872,29.8,"2020-05-29"
10302,624,1747,35.7,"2020-05-29"
10303,845,2571,32.9,"2020-05-29"
10304,1359,4303,31.6,"2020-05-29"
10305,1210,4065,29.8,"2020-05-29"
10306,1420,5278,26.9,"2020-05-29"
10307,371,1288,28.8,"2020-05-29"
10308,619,2386,25.9,"2020-05-29"
