"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,347,1679,20.7,"2020-05-25"
10002,1007,3510,28.7,"2020-05-25"
10003,438,2462,17.8,"2020-05-25"
10004,30,164,18.3,"2020-05-25"
10005,59,404,14.6,"2020-05-25"
10006,23,169,13.6,"2020-05-25"
10007,49,367,13.4,"2020-05-25"
10009,667,3114,21.4,"2020-05-25"
10010,255,1865,13.7,"2020-05-25"
10011,505,2501,20.2,"2020-05-25"
10012,156,929,16.8,"2020-05-25"
10013,252,1309,19.3,"2020-05-25"
10014,285,1451,19.6,"2020-05-25"
10016,653,3648,17.9,"2020-05-25"
10017,135,923,14.6,"2020-05-25"
10018,200,918,21.8,"2020-05-25"
10019,577,2711,21.3,"2020-05-25"
10021,534,2974,18,"2020-05-25"
10022,328,1922,17.1,"2020-05-25"
10023,542,3124,17.3,"2020-05-25"
10024,639,3198,20,"2020-05-25"
10025,1241,5497,22.6,"2020-05-25"
10026,622,2378,26.2,"2020-05-25"
10027,983,3551,27.7,"2020-05-25"
10028,455,2594,17.5,"2020-05-25"
10029,1727,5403,32,"2020-05-25"
10030,478,1696,28.2,"2020-05-25"
10031,1247,3935,31.7,"2020-05-25"
10032,1429,4584,31.2,"2020-05-25"
10033,1277,4135,30.9,"2020-05-25"
10034,681,2614,26.1,"2020-05-25"
10035,919,2970,30.9,"2020-05-25"
10036,401,1814,22.1,"2020-05-25"
10037,520,2094,24.8,"2020-05-25"
10038,239,1054,22.7,"2020-05-25"
10039,493,1733,28.4,"2020-05-25"
10040,1070,3369,31.8,"2020-05-25"
10044,229,787,29.1,"2020-05-25"
10065,323,2024,16,"2020-05-25"
10069,54,295,18.3,"2020-05-25"
10075,389,1806,21.5,"2020-05-25"
10128,611,3554,17.2,"2020-05-25"
10280,46,326,14.1,"2020-05-25"
10282,69,268,25.7,"2020-05-25"
10301,1140,3535,32.2,"2020-05-25"
10302,616,1660,37.1,"2020-05-25"
10303,830,2403,34.5,"2020-05-25"
10304,1341,4029,33.3,"2020-05-25"
10305,1199,3861,31.1,"2020-05-25"
10306,1414,4980,28.4,"2020-05-25"
10307,369,1247,29.6,"2020-05-25"
10308,617,2268,27.2,"2020-05-25"
10309,821,2880,28.5,"2020-05-25"
10310,706,2356,30,"2020-05-25"
10312,1462,5058,28.9,"2020-05-25"
10314,2563,8129,31.5,"2020-05-25"
10451,1553,4437,35,"2020-05-25"
10452,2272,6533,34.8,"2020-05-25"
10453,2278,6264,36.4,"2020-05-25"
10454,1094,3396,32.2,"2020-05-25"
10455,1223,3452,35.4,"2020-05-25"
10456,2387,7187,33.2,"2020-05-25"
10457,1991,5938,33.5,"2020-05-25"
10458,1955,5690,34.4,"2020-05-25"
10459,1434,3841,37.3,"2020-05-25"
10460,1577,4388,35.9,"2020-05-25"
10461,1833,5563,32.9,"2020-05-25"
10462,2193,6654,33,"2020-05-25"
10463,1884,6206,30.4,"2020-05-25"
10464,117,469,24.9,"2020-05-25"
10465,1454,4855,29.9,"2020-05-25"
10466,2299,6249,36.8,"2020-05-25"
10467,3217,8610,37.4,"2020-05-25"
10468,2634,7277,36.2,"2020-05-25"
10469,2870,7711,37.2,"2020-05-25"
10470,437,1513,28.9,"2020-05-25"
