"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,358,2039,17.6,"2020-05-31"
10002,1030,4283,24,"2020-05-31"
10003,445,3104,14.3,"2020-05-31"
10004,31,210,14.8,"2020-05-31"
10005,61,484,12.6,"2020-05-31"
10006,24,211,11.4,"2020-05-31"
10007,54,517,10.4,"2020-05-31"
10009,685,3898,17.6,"2020-05-31"
10010,258,2305,11.2,"2020-05-31"
10011,515,3169,16.3,"2020-05-31"
10012,160,1170,13.7,"2020-05-31"
10013,257,1625,15.8,"2020-05-31"
10014,291,1945,15,"2020-05-31"
10016,671,4358,15.4,"2020-05-31"
10017,139,1093,12.7,"2020-05-31"
10018,202,1068,18.9,"2020-05-31"
10019,589,3352,17.6,"2020-05-31"
10021,550,3657,15,"2020-05-31"
10022,334,2378,14,"2020-05-31"
10023,553,3897,14.2,"2020-05-31"
10024,676,4009,16.9,"2020-05-31"
10025,1278,6658,19.2,"2020-05-31"
10026,629,2750,22.9,"2020-05-31"
10027,1006,4095,24.6,"2020-05-31"
10028,460,3114,14.8,"2020-05-31"
10029,1780,6433,27.7,"2020-05-31"
10030,488,1952,25,"2020-05-31"
10031,1284,4779,26.9,"2020-05-31"
10032,1471,5359,27.4,"2020-05-31"
10033,1307,4887,26.7,"2020-05-31"
10034,694,2951,23.5,"2020-05-31"
10035,929,3348,27.7,"2020-05-31"
10036,407,2193,18.6,"2020-05-31"
10037,530,2361,22.4,"2020-05-31"
10038,246,1297,19,"2020-05-31"
10039,505,1955,25.8,"2020-05-31"
10040,1089,3801,28.7,"2020-05-31"
10044,232,903,25.7,"2020-05-31"
10065,326,2449,13.3,"2020-05-31"
10069,54,380,14.2,"2020-05-31"
10075,416,2192,19,"2020-05-31"
10128,624,4233,14.7,"2020-05-31"
10280,50,422,11.8,"2020-05-31"
10282,70,314,22.3,"2020-05-31"
10301,1163,4082,28.5,"2020-05-31"
10302,632,1830,34.5,"2020-05-31"
10303,850,2683,31.7,"2020-05-31"
10304,1367,4483,30.5,"2020-05-31"
10305,1218,4202,29,"2020-05-31"
10306,1426,5475,26,"2020-05-31"
10307,374,1328,28.2,"2020-05-31"
10308,625,2469,25.3,"2020-05-31"
10309,829,3114,26.6,"2020-05-31"
10310,714,2599,27.5,"2020-05-31"
10312,1480,5507,26.9,"2020-05-31"
10314,2599,8935,29.1,"2020-05-31"
10451,1582,4962,31.9,"2020-05-31"
10452,2326,7302,31.9,"2020-05-31"
10453,2319,7036,33,"2020-05-31"
10454,1111,3753,29.6,"2020-05-31"
10455,1248,3835,32.5,"2020-05-31"
10456,2434,8055,30.2,"2020-05-31"
10457,2045,6745,30.3,"2020-05-31"
10458,1997,6471,30.9,"2020-05-31"
10459,1462,4293,34.1,"2020-05-31"
10460,1609,4933,32.6,"2020-05-31"
10461,1853,6050,30.6,"2020-05-31"
10462,2224,7421,30,"2020-05-31"
10463,1961,7310,26.8,"2020-05-31"
10464,118,504,23.4,"2020-05-31"
10465,1468,5280,27.8,"2020-05-31"
