"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,334,1356,24.63,"2020-05-17"
10002,970,2844,34.11,"2020-05-17"
10003,426,1890,22.54,"2020-05-17"
10004,28,125,22.4,"2020-05-17"
10005,57,325,17.54,"2020-05-17"
10006,23,133,17.29,"2020-05-17"
10007,50,300,16.67,"2020-05-17"
10009,653,2486,26.27,"2020-05-17"
10010,251,1413,17.76,"2020-05-17"
10011,489,1944,25.15,"2020-05-17"
10012,155,698,22.21,"2020-05-17"
10013,245,1061,23.09,"2020-05-17"
10014,280,1134,24.69,"2020-05-17"
10016,637,2926,21.77,"2020-05-17"
10017,132,734,17.98,"2020-05-17"
10018,199,705,28.23,"2020-05-17"
10019,558,2157,25.87,"2020-05-17"
10021,525,2423,21.67,"2020-05-17"
10022,325,1542,21.08,"2020-05-17"
10023,523,2482,21.07,"2020-05-17"
10024,611,2585,23.64,"2020-05-17"
10025,1162,4340,26.77,"2020-05-17"
10026,609,2012,30.27,"2020-05-17"
10027,951,3045,31.23,"2020-05-17"
10028,448,2081,21.53,"2020-05-17"
10029,1686,4622,36.48,"2020-05-17"
10030,466,1448,32.18,"2020-05-17"
10031,1218,3327,36.61,"2020-05-17"
10032,1382,3805,36.32,"2020-05-17"
10033,1240,3452,35.92,"2020-05-17"
10034,663,2265,29.27,"2020-05-17"
10035,900,2546,35.35,"2020-05-17"
10036,389,1478,26.32,"2020-05-17"
10037,503,1859,27.06,"2020-05-17"
10038,232,848,27.36,"2020-05-17"
10039,473,1500,31.53,"2020-05-17"
10040,1052,2956,35.59,"2020-05-17"
10044,216,626,34.5,"2020-05-17"
10065,316,1579,20.01,"2020-05-17"
10069,51,234,21.79,"2020-05-17"
10075,360,1395,25.81,"2020-05-17"
10128,601,2852,21.07,"2020-05-17"
10280,43,246,17.48,"2020-05-17"
10282,68,232,29.31,"2020-05-17"
10301,1094,3037,36.02,"2020-05-17"
10302,608,1515,40.13,"2020-05-17"
10303,812,2139,37.96,"2020-05-17"
10304,1320,3649,36.17,"2020-05-17"
10305,1175,3500,33.57,"2020-05-17"
10306,1390,4523,30.73,"2020-05-17"
10307,363,1159,31.32,"2020-05-17"
10308,611,2096,29.15,"2020-05-17"
10309,810,2612,31.01,"2020-05-17"
10310,698,2092,33.37,"2020-05-17"
10312,1439,4559,31.56,"2020-05-17"
10314,2534,7370,34.38,"2020-05-17"
10451,1526,3945,38.68,"2020-05-17"
10452,2188,5594,39.11,"2020-05-17"
10453,2215,5527,40.08,"2020-05-17"
10454,1064,3048,34.91,"2020-05-17"
10455,1187,3061,38.78,"2020-05-17"
10456,2334,6335,36.84,"2020-05-17"
10457,1936,5130,37.74,"2020-05-17"
10458,1910,5074,37.64,"2020-05-17"
10459,1412,3433,41.13,"2020-05-17"
10460,1550,3933,39.41,"2020-05-17"
10461,1804,5094,35.41,"2020-05-17"
10462,2155,5883,36.63,"2020-05-17"
10463,1804,5229,34.5,"2020-05-17"
10464,117,435,26.9,"2020-05-17"
10465,1437,4387,32.76,"2020-05-17"
10466,2230,5442,40.98,"2020-05-17"
10467,3143,7738,40.62,"2020-05-17"
10468,2538,6212,40.86,"2020-05-17"
10469,2821,6812,41.41,"2020-05-17"
10470,430,1347,31.92,"2020-05-17"
10471,756,2912,25.96,"2020-05-17"
10472,1826,4244,43.03,"2020-05-17"
10473,1814,4726,38.38,"2020-05-17"
10474,310,780,39.74,"2020-05-17"
10475,1626,4434,36.67,"2020-05-17"
11004,543,1109,48.96,"2020-05-17"
11101,587,2015,29.13,"2020-05-17"
11102,568,1719,33.04,"2020-05-17"
11103,517,1629,31.74,"2020-05-17"
11104,460,1359,33.85,"2020-05-17"
11105,462,1677,27.55,"2020-05-17"
11106,604,1842,32.79,"2020-05-17"
11109,46,272,16.91,"2020-05-17"
11201,637,2749,23.17,"2020-05-17"
11203,1929,4800,40.19,"2020-05-17"
11204,1892,5813,32.55,"2020-05-17"
11205,678,2372,28.58,"2020-05-17"
11206,1474,4481,32.89,"2020-05-17"
