"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,306,844,36.26,"2020-05-02"
10002,862,1987,43.38,"2020-05-02"
10003,392,1186,33.05,"2020-05-02"
10004,27,85,31.76,"2020-05-02"
10005,54,200,27,"2020-05-02"
10006,21,89,23.6,"2020-05-02"
10007,47,201,23.38,"2020-05-02"
10009,605,1697,35.65,"2020-05-02"
10010,232,861,26.95,"2020-05-02"
10011,458,1243,36.85,"2020-05-02"
10012,141,471,29.94,"2020-05-02"
10013,214,660,32.42,"2020-05-02"
10014,263,733,35.88,"2020-05-02"
10016,597,1861,32.08,"2020-05-02"
10017,125,459,27.23,"2020-05-02"
10018,187,543,34.44,"2020-05-02"
10019,516,1464,35.25,"2020-05-02"
10021,492,1607,30.62,"2020-05-02"
10022,290,1008,28.77,"2020-05-02"
10023,492,1608,30.6,"2020-05-02"
10024,557,1752,31.79,"2020-05-02"
10025,1077,2977,36.18,"2020-05-02"
10026,553,1389,39.81,"2020-05-02"
10027,826,1988,41.55,"2020-05-02"
10028,424,1381,30.7,"2020-05-02"
10029,1506,3326,45.28,"2020-05-02"
10030,418,966,43.27,"2020-05-02"
10031,1040,2088,49.81,"2020-05-02"
10032,1209,2516,48.05,"2020-05-02"
10033,1086,2198,49.41,"2020-05-02"
10034,585,1298,45.07,"2020-05-02"
10035,783,1659,47.2,"2020-05-02"
10036,355,999,35.54,"2020-05-02"
10037,353,848,41.63,"2020-05-02"
10038,211,543,38.86,"2020-05-02"
10039,428,1023,41.84,"2020-05-02"
10040,817,1676,48.75,"2020-05-02"
10044,170,400,42.5,"2020-05-02"
10065,285,1018,28,"2020-05-02"
10069,46,159,28.93,"2020-05-02"
10075,337,981,34.35,"2020-05-02"
10128,551,1895,29.08,"2020-05-02"
10280,37,167,22.16,"2020-05-02"
10282,64,163,39.26,"2020-05-02"
10301,1001,2386,41.95,"2020-05-02"
10302,552,1226,45.02,"2020-05-02"
10303,752,1733,43.39,"2020-05-02"
10304,1215,2819,43.1,"2020-05-02"
10305,1088,2799,38.87,"2020-05-02"
10306,1290,3609,35.74,"2020-05-02"
10307,349,971,35.94,"2020-05-02"
10308,581,1679,34.6,"2020-05-02"
10309,773,2164,35.72,"2020-05-02"
10310,646,1649,39.18,"2020-05-02"
10312,1365,3644,37.46,"2020-05-02"
10314,2377,6013,39.53,"2020-05-02"
10451,1391,2862,48.6,"2020-05-02"
10452,1942,4019,48.32,"2020-05-02"
10453,1944,3985,48.78,"2020-05-02"
10454,960,2092,45.89,"2020-05-02"
10455,1060,2192,48.36,"2020-05-02"
10456,2069,4407,46.95,"2020-05-02"
10457,1742,3744,46.53,"2020-05-02"
10458,1695,3687,45.97,"2020-05-02"
10459,1260,2566,49.1,"2020-05-02"
10460,1366,2898,47.14,"2020-05-02"
10461,1653,3774,43.8,"2020-05-02"
10462,1962,4415,44.44,"2020-05-02"
10463,1584,3764,42.08,"2020-05-02"
10464,114,351,32.48,"2020-05-02"
10465,1326,3430,38.66,"2020-05-02"
10466,2063,4296,48.02,"2020-05-02"
10467,2865,5884,48.69,"2020-05-02"
10468,2095,4053,51.69,"2020-05-02"
10469,2555,5122,49.88,"2020-05-02"
10470,388,901,43.06,"2020-05-02"
10471,513,1323,38.78,"2020-05-02"
10472,1645,3158,52.09,"2020-05-02"
10473,1654,3646,45.36,"2020-05-02"
10474,283,616,45.94,"2020-05-02"
10475,1508,3627,41.58,"2020-05-02"
11004,496,897,55.3,"2020-05-02"
11101,531,1361,39.02,"2020-05-02"
11102,514,1154,44.54,"2020-05-02"
11103,456,1107,41.19,"2020-05-02"
11104,409,941,43.46,"2020-05-02"
11105,424,1175,36.09,"2020-05-02"
11106,544,1290,42.17,"2020-05-02"
11109,46,179,25.7,"2020-05-02"
11201,529,1615,32.76,"2020-05-02"
11203,1716,3443,49.84,"2020-05-02"
11204,1658,3533,46.93,"2020-05-02"
11205,596,1604,37.16,"2020-05-02"
11206,1286,2896,44.41,"2020-05-02"
11207,1667,3597,46.34,"2020-05-02"
11208,1879,3670,51.2,"2020-05-02"
11209,966,2492,38.76,"2020-05-02"
11210,1435,2988,48.03,"2020-05-02"
11211,1705,3876,43.99,"2020-05-02"
11212,1467,3148,46.6,"2020-05-02"
